sts_name,sts_code,epcc_name,epcc_code,comment
"Status post - Cardiovascular catheterization procedure, Therapeutic, Stent insertion",6620,,,PRT
"Status post - Cardiovascular catheterization procedure, Therapeutic, Stent re-dilation",6630,,,PRT
"Status post - Cardiovascular catheterization procedure, Therapeutic, Transcatheter Fontan completion",6650,,,PRT
"Status post - Cardiovascular catheterization procedure, Therapeutic, Transcatheter implantation of valve",6660,,,PRT
Status post - Coarctation repair + VSD repair,5275,,,PRT
"Status post - Coarctation repair, Descending aorta anastomosed to Ascending aorta",7460,,,PRT
"Status post - Coarctation repair, End to end",5210,,,PRT
"Status post - Coarctation repair, End to end, Extended",5220,,,PRT
"Status post - Coarctation repair, Extra-anatomic Bypass graft",7470,,,PRT
"Status post - Coarctation repair, Interposition graft",5250,,,PRT
"Status post - Coarctation repair, Other",5260,,,PRT
"Status post - Coarctation repair, Patch aortoplasty",5240,,,PRT
"Status post - Coarctation repair, Subclavian flap",5230,,,PRT
Status post - Conduit insertion right ventricle to pulmonary artery + Intraventricular tunnel left ventricle to neoaorta + Arch reconstruction (Rastelli and Norwood type arch reconstruction) (Yasui),6755,,,PRT
"Status post - Conduit placement, LV to PA",4620,,,PRT
"Status post - Conduit placement, Other",5772,,,PRT
"Status post - Conduit placement, RV to PA",4610,,,PRT
"Status post - Conduit placement, Ventricle to aorta",5774,,,PRT
Status post - Conduit reoperation,4580,,,PRT
"Status post - Congenitally corrected TGA repair, Atrial switch and ASO (double switch)",5050,,,PRT
"Status post - Congenitally corrected TGA repair, Atrial switch and Rastelli",5060,,,PRT
"Status post - Congenitally corrected TGA repair, Other",5090,,,PRT
"Status post - Congenitally corrected TGA repair, VSD closure",5070,,,PRT
"Status post - Congenitally corrected TGA repair, VSD closure and LV to PA conduit",5080,,,PRT
Status post - Cor triatriatum repair,4290,,,PRT
Status post - Coronary artery bypass,5300,,,PRT
Status post - Coronary artery fistula ligation,5290,,,PRT
"Status post - Coronary artery procedure, Other",5310,,,PRT
Status post - Damus-Kaye-Stansel procedure (DKS) (creation of AP anastomosis without arch reconstruction),5660,,,PRT
Status post - DCRV repair,4570,,,PRT
Status post - Decortication,5840,,,PRT
Status post - Delayed sternal closure,5960,,,PRT
Status post - Diaphragm plication,5880,,,PRT
"Status post - Diaphragm procedure, Other",5890,,,PRT
"Status post - Division of scalenus anticus, With resection of a cervical rib",7040,,,PRT
"Status post - Division of scalenus anticus, Without resection of a cervical rib",7050,,,PRT
Status post - DOLV repair,5200,,,PRT
Status post - DORV - AVC (AVSD) repair,7450,,,PRT
"Status post - DORV repair, No Ventriculotomy",7410,,,PRT
"Status post - DORV repair, RV-PA conduit",7440,,,PRT
"Status post - DORV repair, Ventriculotomy, Nontransannular patch",7420,,,PRT
"Status post - DORV repair, Ventriculotomy, Transannular patch",7430,,,PRT
"Status post - DORV, Intraventricular tunnel repair",5180,,,PRT
Status post - Double root translocation,7400,,,PRT
Status post - Ebstein's repair,4465,,,PRT
"Status post - Echocardiography procedure, Sedated transesophageal echocardiogram",6420,,,PRT
"Status post - Echocardiography procedure, Sedated transthoracic echocardiogram",6430,,,PRT
Status post - ECMO cannulation,6360,,,PRT
Status post - ECMO decannulation,6370,,,PRT
Status post - ECMO procedure,5910,,,PRT
Status post - Esophageal procedure,5850,,,PRT
Status post - Explantation of pacing system,6350,,,PRT
"Status post - Extended Ventricular Septoplasty (modified Konno, VSD creation and patch enlargement of LVOT, sparing aortic valve) for tunnel type sub aortic stenosis",7380,,,PRT
Status post - Fontan + Atrioventricular valvuloplasty,6340,,,PRT
Status post - Fontan revision or conversion (Re-do Fontan),5025,,,PRT
"Status post - Fontan, Atrio-pulmonary connection",4950,,,PRT
"Status post - Fontan, Atrio-ventricular connection",4960,,,PRT
"Status post - Fontan, Other",5030,,,PRT
"Status post - Fontan, TCPC, External conduit, Fenestrated",5000,,,PRT
"Status post - Fontan, TCPC, External conduit, hepatic veins to pulmonary artery, Fenestrated",7310,,,PRT
"Status post - Fontan, TCPC, External conduit, hepatic veins to pulmonary artery, Nonfenestrated",7320,,,PRT
"Status post - Fontan, TCPC, External conduit, Nonfenestrated",5010,,,PRT
"Status post - Fontan, TCPC, Intra/extracardiac conduit, Fenestrated",6780,,,PRT
"Status post - Fontan, TCPC, Intra/extracardiac conduit, Nonfenestrated",6790,,,PRT
"Status post - Fontan, TCPC, Lateral tunnel, Fenestrated",4970,,,PRT
"Status post - Fontan, TCPC, Lateral tunnel, Nonfenestrated",4980,,,PRT
Status post - Glenn (unidirectional cavopulmonary anastomosis) (unidirectional Glenn),5680,,,PRT
Status post - HemiFontan,5700,,,PRT
"Status post - Hepatic vein to azygous vein connection, Direct",7140,,,PRT
"Status post - Hepatic vein to azygous vein connection, Interposition graft",7150,,,PRT
Status post - HLHS biventricular repair,4880,,,PRT
"Status post - Hybrid Approach ""Stage 1"", Application of RPA & LPA bands",6160,,,PRT
"Status post - Hybrid Approach ""Stage 1"", Stent placement in arterial duct (PDA)",6170,,,PRT
"Status post - Hybrid Approach ""Stage 1"", Stent placement in arterial duct (PDA) + application of RPA & LPA bands",6180,,,PRT
"Status post - Hybrid approach ""Stage 2"", Aortopulmonary amalgamation + Superior Cavopulmonary anastomosis(es) + PA Debanding + Aortic arch repair (Norwood [Stage 1] + Superior Cavopulmonary anastomosis(es) + PA Debanding)",6140,,,PRT
"Status post - Hybrid approach ""Stage 2"", Aortopulmonary amalgamation + Superior Cavopulmonary anastomosis(es) + PA Debanding + Without aortic arch repair",6150,,,PRT
"Status post - Hybrid Approach, Transcardiac balloon dilation",6760,,,PRT
"Status post - Hybrid Approach, Transcardiac transcatheter device placement",6770,,,PRT
Status post - Hyoid myotomy and suspension,6930,,,PRT
Status post - ICD (AICD) ([automatic] implantable cardioverter defibrillator) procedure,5480,,,PRT
Status post - ICD (AICD) implantation,5470,,,PRT
Status post - Interrupted aortic arch repair,5320,,,PRT
Status post - Intraaortic balloon pump (IABP) insertion,5900,,,PRT
Status post - Intravascular stent removal,7180,,,PRT
Status post - Kawashima operation (superior cavopulmonary connection in setting of interrupted IVC with azygous continuation),7160,,,PRT
Status post - Konno procedure,4750,,,PRT
"Status post - Ligation, Pulmonary artery",5790,,,PRT
"Status post - Ligation, Thoracic duct",5830,,,PRT
Status post - Lung biopsy,5400,,,PRT
"Status post - Lung procedure, Other",5420,,,PRT
Status post - LV Endocardial Fibroelastosis resection,7390,,,PRT
Status post - LV to aorta tunnel repair,4820,,,PRT
Status post - Mediastinal exploration,5970,,,PRT
Status post - Mediastinal procedure,5860,,,PRT
Status post - Minimally invasive procedure,5940,,,PRT
"Status post - Miscellaneous procedure, Other",6040,,,PRT
"Status post - Mitral stenosis, Supravalvar mitral ring repair",4840,,,PRT
"Status post - Muscle flap, Neck",6940,,,PRT
"Status post - Muscle flap, Trunk (i.e. latissimus dorsi)",6810,,,PRT
"Status post - Muscle flap, Trunk (i.e., intercostal, pectus, or serratus muscle)",6800,,,PRT
Status post - Mustard,5140,,,PRT
"Status post - Non-cardiovascular, Non-thoracic procedure on cardiac patient with cardiac anesthesia",6435,,,PRT
Status post - Norwood procedure,4870,,,PRT
Status post - Occlusion of MAPCA(s),4450,,,PRT
Status post - Other annular enlargement procedure,4770,,,PRT
Status post - Other procedure,11777,,,PRT
Status post - PA band adjustment,7200,,,PRT
Status post - PA banding (PAB),5640,,,PRT
Status post - PA debanding,5650,,,PRT
"Status post - PA, reconstruction (plasty), Branch, Central (within the hilar bifurcation)",4540,,,PRT
"Status post - PA, reconstruction (plasty), Branch, Peripheral (at or beyond the first lobar branch)",4550,,,PRT
"Status post - PA, reconstruction (plasty), Branch, Peripheral (at or beyond the first lobar branch, beyond the first segmental branch)",7360,,,PRT
"Status post - PA, reconstruction (plasty), Branch, Peripheral (at or beyond the first lobar branch, proximal to first segmental branch)",7350,,,PRT
"Status post - PA, reconstruction (plasty), Main (trunk)",4530,,,PRT
"Status post - Pacemaker implantation, Permanent",5450,,,PRT
Status post - Pacemaker procedure,5460,,,PRT
"Status post - Palliation, Other",5710,,,PRT
Status post - PAPVC repair,4260,,,PRT
"Status post - PAPVC repair, Baffle redirection to left atrium with systemic vein translocation (Warden) (SVC sewn to right atrial appendage)",6120,,,PRT
"Status post - PAPVC, Scimitar, Repair",4270,,,PRT
Status post - Partial left ventriculectomy (LV volume reduction surgery) (Batista),4910,,,PRT
"Status post - PDA closure, Device",5340,,,PRT
"Status post - PDA closure, Surgical",5330,,,PRT
Status post - Pectus bar removal,6990,,,PRT
Status post - Pectus bar repositioning,7005,,,PRT
"Status post - Pectus repair, Minimally invasive repair (Nuss), With thoracoscopy",7010,,,PRT
"Status post - Pectus repair, Minimally invasive repair (Nuss), Without thoracoscopy",7020,,,PRT
"Status post - Pectus repair, Open repair",7030,,,PRT
Status post - Pericardial drainage procedure,4920,,,PRT
"Status post - Pericardial procedure, Other",4940,,,PRT
Status post - Pericardiectomy,4930,,,PRT
"Status post - Peripheral vascular procedure, Other",6030,,,PRT
"Status post - PFO, Primary closure",4010,,,PRT
Status post - Pleural drainage procedure,5810,,,PRT
"Status post - Pleural procedure, Other",5820,,,PRT
Status post - Procedure on neck,6950,,,PRT
Status post - Procedure on thorax,7100,,,PRT
Status post - Pulmonary artery origin from ascending aorta (hemitruncus) repair,4220,,,PRT
Status post - Pulmonary artery sling repair,5370,,,PRT
"Status post - Pulmonary atresia - VSD - MAPCA repair, Complete single stage repair (1-stage that includes bilateral pulmonary unifocalization + VSD closure + RV to PA connection [with or without conduit])",6700,,,PRT
"Status post - Pulmonary atresia - VSD - MAPCA repair, Status post prior complete unifocalization (includes VSD closure + RV to PA connection [with or without conduit])",6710,,,PRT
"Status post - Pulmonary atresia - VSD - MAPCA repair, Status post prior incomplete unifocalizarion (includes completion of pulmonary unifocalization + VSD closure + RV to PA connection [with or without conduit])",6720,,,PRT
"Status post - Pulmonary atresia - VSD (including TOF, PA) repair",4420,,,PRT
Status post - Pulmonary AV fistula repair/occlusion,5780,,,PRT
"Status post - Pulmonary embolectomy, Acute pulmonary embolus",5802,,,PRT
"Status post - Pulmonary embolectomy, Chronic pulmonary embolus",5804,,,PRT
Status post - Pulmonary venous stenosis repair,4300,,,PRT
"Status post - Radiology procedure on cardiac patient, Cardiac Computerized Axial Tomography (CT Scan)",6440,,,PRT
"Status post - Radiology procedure on cardiac patient, Cardiac Magnetic Resonance Imaging (MRI)",6450,,,PRT
"Status post - Radiology procedure on cardiac patient, Diagnostic radiology",6460,,,PRT
"Status post - Radiology procedure on cardiac patient, Non-Cardiac Computerized Tomography (CT) on cardiac patient",6470,,,PRT
"Status post - Radiology procedure on cardiac patient, Non-cardiac Magnetic Resonance Imaging (MRI) on cardiac patient",6480,,,PRT
"Status post - Radiology procedure on cardiac patient, Therapeutic radiology",6490,,,PRT
Status post - Rastelli,5150,,,PRT
Status post - Removal of transcatheter delivered device from blood vessel,7210,,,PRT
Status post - Removal of transcatheter delivered device from heart,7220,,,PRT
"Status post - Removal, Sternal wire",6820,,,PRT
Status post - REV,5160,,,PRT
"Status post - Rib excision, Complete",6830,,,PRT
"Status post - Rib excision, Excision of cervical rib",7060,,,PRT
"Status post - Rib excision, Excision of cervical rib, With sympathectomy",7070,,,PRT
"Status post - Rib excision, Excision of first rib",7080,,,PRT
"Status post - Rib excision, Excision of first rib, With sympathectomy",7090,,,PRT
"Status post - Rib excision, Partial",6840,,,PRT
Status post - Right/left heart assist device procedure,5920,,,PRT
Status post - Ross procedure,4740,,,PRT
Status post - Ross-Konno procedure,4760,,,PRT
"Status post - RV Rehabilitation, Endocardial Resection",7370,,,PRT
Status post - RVOT procedure,4510,,,PRT
Status post - Senning,5130,,,PRT
"Status post - Shunt, Ligation and takedown",5630,,,PRT
"Status post - Shunt, Reoperation",6095,,,PRT
"Status post - Shunt, Systemic to pulmonary, Central (shunt from aorta)",5600,,,PRT
"Status post - Shunt, Systemic to pulmonary, Central (shunt from aorta), Central shunt with an end-to-side connection between the transected main pulmonary artery and the side of the ascending aorta (i.e. Mee shunt)",7130,,,PRT
"Status post - Shunt, Systemic to pulmonary, Modified Blalock-Taussig Shunt (MBTS)",5590,,,PRT
"Status post - Shunt, Systemic to pulmonary, Other",5610,,,PRT
"Status post - Shunt, Sysytemic to pulmonary, Potts - Smith type (descending aorta to pulmonary artery)",7230,,,PRT
"Status post - Sinus of Valsalva, Aneurysm repair",4810,,,PRT
Status post - Sternal fracture - open treatment,6850,,,PRT
"Status post - Sternal resection, Radical resection of sternum",6860,,,PRT
"Status post - Sternal resection, Radical resection of sternum with mediastinal lymphadenectomy",6870,,,PRT
Status post - Sternotomy wound drainage,5980,,,PRT
Status post - Superior cavopulmonary anastomosis(es) (Glenn or HemiFontan) + Atrioventricular valvuloplasty,6330,,,PRT
Status post - Superior Cavopulmonary anastomosis(es) + PA reconstruction,6130,,,PRT
Status post - Systemic venous stenosis repair,4340,,,PRT
Status post - Takedown of superior cavopulmonary anastomosis,7300,,,PRT
Status post - TAPVC repair,4280,,,PRT
Status post - TAPVC repair + Shunt - systemic-to-pulmonary,6200,,,PRT
"Status post - TGA, Other procedures (Kawashima, LV-PA conduit, other)",6210,,,PRT
"Status post - Thoracic and/or mediastinal procedure, Other",6020,,,PRT
"Status post - Thoracotomy, Other",5990,,,PRT
Status post - TOF -  AVC (AVSD) repair,4390,,,PRT
Status post - TOF - Absent pulmonary valve repair,4400,,,PRT
"Status post - TOF repair, No ventriculotomy",4350,,,PRT
"Status post - TOF repair, RV-PA conduit",4380,,,PRT
"Status post - TOF repair, Ventriculotomy, Nontransanular patch",4360,,,PRT
"Status post - TOF repair, Ventriculotomy, Transanular patch",4370,,,PRT
"Status post - TOF repair, Ventriculotomy, Transanular patch, plus native valve reconstruction",7330,,,PRT
"Status post - TOF repair, Ventriculotomy, Transanular patch, with monocusp or other surgically fashioned RVOT valve",7340,,,PRT
Status post - Tracheal procedure,5440,,,PRT
"Status post - Transplant, Heart",1590,,,PRT
"Status post - Transplant, Heart and lung",1610,,,PRT
"Status post - Transplant, Lung(s)",1600,,,PRT
Status post - Truncus + Interrupted aortic arch repair (IAA) repair,6220,,,PRT
Status post - Truncus arteriosus repair,4230,,,PRT
Status post - Tumor of chest wall - Excision including ribs,6880,,,PRT
"Status post - Tumor of chest wall - Excision including ribs, With reconstruction",6890,,,PRT
Status post - Tumor of soft tissue of neck - Excision of deep subfascial or intramuscular tumor,6960,,,PRT
Status post - Tumor of soft tissue of neck - Excision of subcutaneous tumor,6970,,,PRT
Status post - Tumor of soft tissue of neck - Radical resection,6980,,,PRT
Status post - Tumor of soft tissue of thorax - Excision of deep subfascial or intramuscular tumor,6900,,,PRT
Status post - Tumor of soft tissue of thorax - Excision of subcutaneous tumor,6910,,,PRT
Status post - Tumor of soft tissue of thorax - Radical resection,6920,,,PRT
Status post - Unifocalization MAPCA(s),4440,,,PRT
"Status post - Unifocalization MAPCA(s), Bilateral pulmonary unifocalization - Complete unifocalization (all usable MAPCA[s] are incorporated)",6730,,,PRT
"Status post - Unifocalization MAPCA(s), Bilateral pulmonary unifocalization - Incomplete unifocalization (not all usable MAPCA[s] are incorporated)",6740,,,PRT
"Status post - Unifocalization MAPCA(s), Unilateral pulmonary unifocalization",6750,,,PRT
Status post - VAD change out,7170,,,PRT
Status post - VAD explantation,6390,,,PRT
Status post - VAD implantation,6380,,,PRT
"Status post - Valve closure, Semilunar",4640,,,PRT
"Status post - Valve closure, Tricuspid (exclusion, univentricular approach)",4480,,,PRT
"Status post - Valve excision, Pulmonary (without replacement)",4630,,,PRT
"Status post - Valve excision, Tricuspid (without replacement)",4490,,,PRT
"Status post - Valve replacement, Aortic (AVR)",4670,,,PRT
"Status post - Valve replacement, Aortic (AVR), Bioprosthetic",4690,,,PRT
"Status post - Valve replacement, Aortic (AVR), Homograft",4700,,,PRT
"Status post - Valve replacement, Aortic (AVR), Mechanical",4680,,,PRT
"Status post - Valve replacement, Common atrioventricular valve",6230,,,PRT
"Status post - Valve replacement, Mitral (MVR)",4850,,,PRT
"Status post - Valve replacement, Pulmonic (PVR)",4600,,,PRT
"Status post - Valve replacement, Tricuspid (TVR)",4470,,,PRT
"Status post - Valve replacement, Truncal valve",4250,,,PRT
"Status post - Valve surgery, Other, Aortic",4800,,,PRT
"Status post - Valve surgery, Other, Mitral",4860,,,PRT
"Status post - Valve surgery, Other, Pulmonic",4650,,,PRT
"Status post - Valve surgery, Other, Tricuspid",4500,,,PRT
"Status post - Valvuloplasty converted to valve replacement in the same operation, Aortic",6240,,,PRT
"Status post - Valvuloplasty converted to valve replacement in the same operation, Aortic â€“ with Ross procedure",6310,,,PRT
"Status post - Valvuloplasty converted to valve replacement in the same operation, Aortic â€“ with Ross-Konno procedure",6320,,,PRT
"Status post - Valvuloplasty converted to valve replacement in the same operation, Common atrioventricular valve",6250,,,PRT
"Status post - Valvuloplasty converted to valve replacement in the same operation, Mitral",6260,,,PRT
"Status post - Valvuloplasty converted to valve replacement in the same operation, Pulmonic",6270,,,PRT
"Status post - Valvuloplasty converted to valve replacement in the same operation, Tricuspid",6280,,,PRT
"Status post - Valvuloplasty converted to valve replacement in the same operation, Truncal valve",6290,,,PRT
"Status post - Valvuloplasty, Aortic",4660,,,PRT
"Status post - Valvuloplasty, Common atrioventricular valve",6300,,,PRT
"Status post - Valvuloplasty, Mitral",4830,,,PRT
"Status post - Valvuloplasty, Pulmonic",4590,,,PRT
"Status post - Valvuloplasty, Tricuspid",4460,,,PRT
"Status post - Valvuloplasty, Truncal valve",4240,,,PRT
Status post - Vascular ring repair,5360,,,PRT
Status post - VATS (video-assisted thoracoscopic surgery),5930,,,PRT
Status post - Ventricular septal fenestration,4150,,,PRT
Status post - Ventricular septation,5035,,,PRT
Status post - VSD creation/enlargement,4140,,,PRT
"Status post - VSD repair, Device",4120,,,PRT
"Status post - VSD repair, Patch",4110,,,PRT
"Status post - VSD repair, Primary closure",4100,,,PRT
"Status post - VSD, Multiple, Repair",4130,,,PRT
"Sternal tumor, Benign",2190,,,PRT
"Sternal tumor, Malignant",2200,,,PRT
"Sternal tumor, Metastatic",2210,,,PRT
Syncope,2390,"Symptom-sign of heart disease, Syncope,",10.40.01,no exact in pdf
Systemic venous anomaly,270,"Congenital anomaly of systemic vein(s),",04.05.00,
Systemic venous obstruction,280,"Systemic vein abnormality: acquired, Systemic vein obstruction,",10.30.09,
"TGA, IVS",880,"Anomaly of atrioventricular and-or ventriculo-arterial connection(s), Transposition of great arteries (TGA) (concordant atrioventricular & discordant ventriculo-arterial connections) & intact ventricular septum,",01.01.02,
"TGA, IVS-LVOTO",890,multiple codes,"01.01.02, 07.09.01",
"TGA, VSD",900,multiple codes,"01.05.01, 07.10.00",
"TGA, VSD-LVOTO",910,multiple codes,"01.05.01, 07.10.00, 07.09.01",
"Thoracic and/or mediastinal, Other",1570,"Thoracic-mediastinal abnormality,",14.03.29,no exact in pdf
Thoracic outlet syndrome,2240,"Thoracic outlet syndrome,",16.12.08,no exact in pdf
TOF,290,"Tetralogy of Fallot,",01.01.01,
"TOF, Absent pulmonary valve",310,"Absent pulmonary valve syndrome: Fallot-type,",09.05.25,
"TOF, AVC (AVSD)",300,"Atrioventricular septal defect and Tetralogy of Fallot,",01.01.20,
"TOF, Pulmonary stenosis",2140,multiple codes,"01.01.01,  09.05.92",no exact in pdf
"Total anomalous pulmonary venous connection (TAPVC), Type 1 (supracardiac)",200,"Pulmonary vein abnormality, Totally anomalous pulmonary venous connection, Totally anomalous pulmonary venous connections: supracardiac,",04.06.00,
"Total anomalous pulmonary venous connection (TAPVC), Type 2 (cardiac)",210,"Pulmonary vein abnormality, Totally anomalous pulmonary venous connection, Totally anomalous pulmonary venous connections: intracardiac,",04.08.10,
"Total anomalous pulmonary venous connection (TAPVC), Type 3 (infracardiac)",220,"Pulmonary vein abnormality, Totally anomalous pulmonary venous connection, Totally anomalous pulmonary venous connections: infracardiac,",04.08.20,
"Total anomalous pulmonary venous connection (TAPVC), Type 4 (mixed)",230,"Pulmonary vein abnormality, Totally anomalous pulmonary venous connection, Totally anomalous pulmonary venous connections: mixed,",04.08.30,
Tracheal stenosis,1160,"Tracheal stenosis,",16.10.01,
Tracheomalacia,2430,"Tracheobronchial malacia,",14.03.49,
"Trauma, Blunt",2400,"Trauma: blunt,",10.90.41,no exact in pdf
"Trauma, Penetrating",2410,"Trauma: penetrating,",10.90.42,no exact in pdf
Tricuspid regurgitation and tricuspid stenosis,400,multiple codes,"06.01.91, 06.01.92",
"Tricuspid regurgitation, non-Ebstein's related",380,"Tricuspid valvar abnormality, Tricuspid regurgitation,",06.01.91,
Tricuspid stenosis,390,"Tricuspid valvar abnormality, Tricuspid stenosis,",06.01.92,
"Tricuspid valve, Other",410,"Tricuspid valvar abnormality,",06.01.00,no exact in pdf
Truncal valve insufficiency,170,"Truncal valvar abnormality, Truncal valvar regurgitation,",09.02.03,
Truncal valve stenosis,2470,"Truncal valvar abnormality,",09.02.00,
Truncus arteriosus,160,"Anomaly of atrioventricular and-or ventriculo-arterial connection(s), Common arterial trunk (truncus arteriosus),",09.01.01,
Truncus arteriosus + Interrupted aortic arch,2010,multiple codes,"09.29.31, 09.01.01",no exact in pdf
Vascular ring,1090,"Vascular ring,",09.31.00,
VSD + Aortic arch hypoplasia,92,multiple codes,"07.10.00, 09.29.11",no exact in pdf
VSD + Coarctation of aorta,94,multiple codes,"07.10.00, 09.29.01",no exact in pdf
"VSD, Multiple",80,"Ventricular septal defect (VSD), Multiple ventricular septal defect (VSD)s,",07.15.04,
"VSD, Type 1 (Subarterial) (Supracristal) (Conal septal defect) (Infundibular)",71,"Ventricular septal defect (VSD), Subarterial (outlet) ventricular septal defect (VSD),",07.12.00,
"VSD, Type 2 (Perimembranous) (Paramembranous) (Conoventricular)",73,"Ventricular septal defect (VSD), Perimembranous ventricular septal defect (VSD),",07.10.01,
"VSD, Type 3 (Inlet) (AV canal type)",75,"Ventricular septal defect (VSD), Inlet ventricular septal defect (VSD),",07.14.05,
"VSD, Type 4 (Muscular)",77,"Ventricular septal defect (VSD), Muscular ventricular septal defect (VSD),",07.11.01,
"VSD, Type: Gerbode type (LV-RA communication)",79,"Ventricular septal defect (VSD), Communication between left ventricle + right atrium (Gerbode defect),",07.14.02,
Wolff-Parkinson-White syndrome (WPW syndrome),2550,"AV reciprocating (reentry) tachycardia (accessory pathway mediated), AV reciprocating (reentry) tach",11.07.01,no exact in pdf
