CHAANZ_SOURCE,PROCEDURE_IPCCC_R,IPCCC_CODE_R,PROCEDURE_STS_R,STS_CODE_R,PROC_ELIGIBILITY,implied_diagnosis,implied_code,implied_code_drt
David Celermajer and David Baker 05DEC2022,"Totally anomalous pulmonary venous connection repair,",12.00.00,TAPVC repair,280,1,TAPVC,04.08.05,04.08.05
David Celermajer and David Baker 05DEC2022,"Partially anomalous pulmonary venous connection repair,",12.00.02,PAPVC repair,260,1,PAPVC,04.07.01,04.07.01
David Celermajer and David Baker 05DEC2022,"Pulmonary vein stenosis repair,",12.00.03,Pulmonary venous stenosis repair,300,1,,,
David Celermajer and David Baker 05DEC2022,"Partially anomalous pulmonary venous connection repair, Scimitar syndrome (partially anomalous pulmonary venous connection) repair,",12.00.17,"PAPVC, Scimitar, Repair",270,1,Scimitar Syndrome,01.01.16,01.01.16
David Celermajer 18JUL2023,"Pulmonary vein procedure,",12.00.20,"Cardiac procedure, Other",2010,0,,,
David Celermajer and David Baker 05DEC2022,"Balloon dilation of pulmonary vein,",12.00.21,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",1540,1,,,
David Celermajer and David Baker 05DEC2022,"Stent placement in pulmonary vein,",12.00.22,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",1550,1,,,
David Celermajer and David Baker 05DEC2022,"Balloon dilation of pulmonary vein using cutting balloon,",12.00.23,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",1540,1,,,
David Celermajer and David Baker 05DEC2022,"Balloon dilation of pulmonary vein or pathway,",12.00.24,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",1540,1,,,
David Celermajer and David Baker 05DEC2022,"Stent placement in pulmonary vein or pathway,",12.00.25,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",1550,1,,,
David Celermajer and David Baker 05DEC2022,"Systemic venous pathway procedure (post Senning-Mustard),",12.00.29,"Atrial baffle procedure, Mustard or Senning revision",1145,1,d-TGA,01.05.01,01.05.01
David Celermajer and David Baker 05DEC2022,"Systemic vein procedure,",12.00.30,Anomalous systemic venous connection repair,330,1,,,
David Celermajer and David Baker 05DEC2022,"Stent placement in superior caval vein (SVC),",12.00.36,Systemic venous stenosis repair,340,1,,,
David Celermajer and David Baker 05DEC2022,"Systemic vein procedure, Superior caval vein (SVC) procedure,",12.00.39,,Manual review required,1,,,
David Celermajer and David Baker 05DEC2022,"Systemic vein procedure, Inferior caval vein (IVC) procedure,",12.00.42,,Manual review required,1,,,
David Celermajer and David Baker 05DEC2022,"Balloon dilation of systemic vein or pathway,",12.00.43,Anomalous systemic venous connection repair,330,1,,,
David Celermajer and David Baker 05DEC2022,"Stent placement in systemic vein or pathway,",12.00.44,Anomalous systemic venous connection repair,330,1,,,
David Celermajer and David Baker 05DEC2022,"Coronary sinus procedure,",12.00.50,Anomalous systemic venous connection repair,330,1,,,
David Celermajer and David Baker 05DEC2022,"Atrial septal defect (ASD) secundum closure, Coronary sinus interatrial communication (ASD) repair,",12.00.55,,Manual review required,1,ASD (secundum),05.04.02r,05.04.02
David Celermajer and David Baker 05DEC2022,"Partially anomalous pulmonary venous connection repair, Partially anomalous pulmonary venous connection repair: baffle redirection to left atrium & systemic vein translocated to right atrial appendage (Warden),",12.00.78,"PAPVC repair, Baffle redirection to left atrium with systemic vein translocation (Warden) (SVC sewn",2120,1,PAPVC,04.07.01,04.07.01
David Celermajer and David Baker 05DEC2022,"Systemic vein procedure, Anomalous systemic venous connection repair,",12.00.81,Anomalous systemic venous connection repair,330,1,,,
David Celermajer and David Baker 05DEC2022,"Systemic vein procedure, Systemic venous stenosis repair,",12.00.83,Systemic venous stenosis repair,340,1,,,
David Celermajer and David Baker 05DEC2022,"Cardiopulmonary bypass for non-cardiac lesion,",12.00.92,Bypass for noncardiac lesion,1950,1,,,
David Celermajer and David Baker 05DEC2022,"Interatrial communication closure,",12.01.00,,Manual review required (likely one of below specific options),1,,,
David Celermajer and David Baker 05DEC2022,"Atrial septal defect (ASD) secundum closure,",12.01.01,,Manual review required (likely one of below specific options),1,ASD (secundum),05.04.02r,05.04.02
David Celermajer and David Baker 05DEC2022,"Atrial septal defect (ASD) secundum closure, Atrial septal defect (ASD) secundum closure with direct suture,",12.01.02,"ASD repair, Primary closure",20,1,ASD (secundum),05.04.02r,05.04.02
David Celermajer and David Baker 05DEC2022,"Atrial septal defect (ASD) secundum closure, Atrial septal defect (ASD) secundum closure with patch,",12.01.03,"ASD repair, Patch",30,1,ASD (secundum),05.04.02r,05.04.02
David Celermajer and David Baker 05DEC2022,"Atrial septal defect (ASD) secundum closure with transluminal device,",12.01.06,"ASD repair, Device",40,1,ASD (secundum),05.04.02r,05.04.02
David Celermajer 18JUL2023,"Patent foramen ovale (PFO) closure with transluminal device,",12.01.07,"ASD repair, Device",40,0,PFO,05.03.01,05.03.01
David Celermajer and David Baker 05DEC2022,"Atrial septal defect (ASD) secundum closure, Interatrial communication closure: partial,",12.01.08,ASD partial closure,70,1,ASD (secundum),05.04.02r,05.04.02
David Celermajer and David Baker 05DEC2022,"Atrial septal defect (ASD) secundum closure, Sinus venosus defect (ASD) closure,",12.01.10,,Manual review required,1,ASD (secundum),05.04.02r,05.04.02
David Celermajer and David Baker 05DEC2022,"Atrial septation procedure,",12.01.22,"ASD, Common atrium (single atrium), Septation",50,1,,,
David Celermajer and David Baker 05DEC2022,"Left atrial procedure,",12.01.30,"Cardiac procedure, Other",2010,1,,,
David Celermajer and David Baker 05DEC2022,"Left atrial procedure, Cor triatriatum (divided left atrium) repair,",12.01.31,Cor triatriatum repair,290,1,Cor Triatriatum,05.02.01,05.02.01
David Celermajer and David Baker 05DEC2022,"Supra-mitral valvar LA-ring excision,",12.01.32,"Mitral stenosis, Supravalvar mitral ring repair",840,1,Supravalvular Mitral Ring,05.02.02,05.02.02
David Celermajer and David Baker 05DEC2022,"Balloon atrial septostomy by pull back (Rashkind),",12.01.41,"Cardiovascular catheterization procedure, Therapeutic, Septostomy",2580,1,Complex CHD,01.01.99,EXCLUDE
David Celermajer and David Baker 05DEC2022,"Interatrial communication creation-enlargement, Atrial septectomy: closed (Blalock Hanlon),",12.01.42,ASD creation/enlargement,60,1,Complex CHD,01.01.99,EXCLUDE
David Celermajer and David Baker 05DEC2022,"Interatrial communication creation-enlargement, Atrial septectomy,",12.01.43,ASD creation/enlargement,60,1,Complex CHD,01.01.99,EXCLUDE
David Celermajer 18JUL2023,"Blade atrial septostomy,",12.01.44,"Cardiovascular catheterization procedure, Therapeutic, Septostomy",2580,0,d-TGA,,
David Celermajer and David Baker 05DEC2022,"Transluminal fenestration of atrial septum-tunnel,",12.01.47,Atrial septal fenestration,80,1,,,
David Celermajer and David Baker 05DEC2022,"Patent foramen ovale (PFO) direct closure,",12.01.53,"PFO, Primary closure",10,1,PFO,05.03.01,05.03.01
David Celermajer and David Baker 05DEC2022,"Atrial baffle procedure,",12.01.57,,Manual review needed as too non-specific (may be 310 or 1145),1,d-TGA,01.05.01,01.05.01
David Celermajer 18JUL2023,"Right atrial procedure,",12.01.60,"Cardiac procedure, Other",2010,0,,,
David Celermajer and David Baker 05DEC2022,"Interatrial communication left open,",12.01.80,"Cardiac procedure, Other",2010,1,,,
David Celermajer and David Baker 05DEC2022,"Interatrial communication creation-enlargement,",12.01.90,ASD creation/enlargement,60,1,,,
David Celermajer and David Baker 05DEC2022,"Interatrial communication closure with transluminal device,",12.01.98,"Cardiovascular catheterization procedure, Therapeutic, Device implantation",1560,1,ASD (secundum),05.04.02r,05.04.02
David Celermajer 18JUL2023,"Tricuspid valvar procedure,",12.02.00,"Valve surgery, Other, Tricuspid",500,0,,,
David Celermajer 18JUL2023,"Tricuspid valvar procedure, Tricuspid leaflet (valvoplasty) procedure,",12.02.02,"Valvuloplasty, Tricuspid",460,0,,,
David Celermajer and David Baker 05DEC2022,"Tricuspid valvar procedure, Tricuspid valvar annuloplasty,",12.02.04,"Valvuloplasty, Tricuspid",460,0,,,
David Celermajer and David Baker 05DEC2022,"Tricuspid valvar procedure, Ebstein malformation of tricuspid valve repair,",12.02.09,Ebstein's repair,465,1,Ebstein's Anomaly,,
David Celermajer and David Baker 05DEC2022,"Tricuspid valvar procedure, Tricuspid valvar replacement,",12.02.11,"Valve replacement, Tricuspid (TVR)",470,0,,,
David Celermajer and David Baker 05DEC2022,"Tricuspid valvar procedure, Tricuspid valvectomy,",12.02.22,"Valve excision, Tricuspid (without replacement)",490,1,,,
David Celermajer and David Baker 05DEC2022,"Tricuspid valvar procedure, Tricuspid valvar closure,",12.02.70,"Valve closure, Tricuspid (exclusion, univentricular approach)",480,1,Complex CHD,,
David Celermajer and David Baker 05DEC2022,"Tricuspid valvar procedure, Ebstein malformation of tricuspid valve repair: tricuspid valve closure & shunt (Starnes),",12.02.77,Ebstein's repair,465,1,Ebstein's Anomaly,06.01.34,06.01.34
David Celermajer 18JUL2023,"Tricuspid valvar procedure, Tricuspid valve repair converted to tricuspid valvar replacement,",12.02.83,"Valvuloplasty converted to valve replacement in the same operation, Tricuspid",2280,0,,,
David Celermajer and David Baker 05DEC2022,"Mitral valvar procedure,",12.03.00,"Cardiac procedure, Other",2010,0,,,
David Celermajer 18JUL2023,"Mitral valvar procedure, Mitral valvotomy,",12.03.01,"Valvuloplasty, Mitral",830,0,,,
David Celermajer 18JUL2023,"Mitral valvar procedure, Mitral leaflet (valvoplasty) procedure,",12.03.03,"Valvuloplasty, Mitral",830,0,,,
David Celermajer 18JUL2023,"Mitral valvar procedure, Mitral valvar annuloplasty,",12.03.04,"Valvuloplasty, Mitral",830,0,,,
David Celermajer 18JUL2023,"Balloon dilation of mitral valve,",12.03.10,"Valvuloplasty, Mitral",830,0,,,
David Celermajer 18JUL2023,"Mitral valvar procedure, Mitral valvar replacement,",12.03.11,"Valve replacement, Mitral (MVR)",850,0,,,
David Celermajer and David Baker 05DEC2022,"Mitral subvalvar apparatus procedure,",12.03.19,"Valve surgery, Other, Mitral",860,0,,,
David Celermajer and David Baker 05DEC2022,"Mitral valvar procedure, Mitral valve repair converted to mitral valvar replacement,",12.03.84,"Valvuloplasty converted to valve replacement in the same operation, Mitral",2260,1,,,
David Celermajer and David Baker 05DEC2022,"Transluminal mitral valve repair,",12.03.97,"Valvuloplasty, Mitral",830,1,,,
David Celermajer and David Baker 05DEC2022,"Atrioventricular septal defect procedure,",12.04.00,"Cardiac procedure, Other",2010,1,AVSD,06.06.00,06.06.00
David Celermajer and David Baker 05DEC2022,"Atrioventricular septal defect procedure, Atrioventricular septal defect (AVSD): partial (primum ASD) repair,",12.04.01,"AVC (AVSD) repair, Partial (Incomplete) (PAVSD)",190,1,AVSD,06.06.00,06.06.00
David Celermajer and David Baker 05DEC2022,"Atrioventricular septal defect procedure, Atrioventricular septal defect (AVSD): partial with isolated ventricular component (VSD) repair,",12.04.09,"AVC (AVSD) repair, Partial (Incomplete) (PAVSD)",190,1,AVSD,06.06.00,06.06.00
David Celermajer and David Baker 05DEC2022,"Common atrioventricular valve replacement,",12.04.18,"Valve replacement, Common atrioventricular valve",2230,1,AVSD,06.06.00,06.06.00
David Celermajer and David Baker 05DEC2022,"Common atrioventricular valvar leaflet (valvoplasty) procedure, Atrioventricular septal defect (AVSD): right atrioventricular valvar procedure,",12.04.20,,Manual review required,1,AVSD,06.06.00,06.06.00
David Celermajer and David Baker 05DEC2022,"Common atrioventricular valve repair converted to atrioventricular valvar replacement,",12.04.33,"Valvuloplasty converted to valve replacement in the same operation, Common atrioventricular valve",2250,1,AVSD,06.06.00,06.06.00
David Celermajer and David Baker 05DEC2022,"Common atrioventricular valvar leaflet (valvoplasty) procedure, Atrioventricular septal defect (AVSD): left atrioventricular valvar procedure,",12.04.40,"Valvuloplasty, Mitral",830,1,AVSD,06.06.00,06.06.00
David Celermajer and David Baker 05DEC2022,"Common atrioventricular valvar leaflet (valvoplasty) procedure, Atrioventricular septal defect (AVSD): left atrioventricular valvar replacement,",12.04.45,"Valve replacement, Mitral (MVR)",850,1,AVSD,06.06.00,06.06.00
David Celermajer 18JUL2023,"Mitral valvar procedure, Mitral valve replacement with stented bovine jugular vein conduit,",12.04.89,,850 but manual review required if going STS to EPCC,0,,,
David Celermajer and David Baker 05DEC2022,"Atrioventricular septal defect procedure, Atrioventricular septal defect (AVSD): complete (common valve orifice) repair,",12.05.01,"AVC (AVSD) repair, Complete (CAVSD)",170,1,AVSD,06.06.00,06.06.00
David Celermajer and David Baker 05DEC2022,"Atrioventricular septal defect procedure, Atrioventricular septal defect (AVSD): 'intermediate' repair,",12.05.10,"AVC (AVSD) repair, Intermediate (Transitional)",180,1,AVSD,06.06.00,06.06.00
David Celermajer and David Baker 05DEC2022,"Atrioventricular septal defect (AVSD) & Tetralogy of Fallot repair,",12.05.11,TOF -  AVC (AVSD) repair,390,1,AVSD + TOF,"01.01.01r, 06.06.00","01.01.01, 06.06.00"
David Celermajer and David Baker 05DEC2022,"Right ventricular outflow tract procedure,",12.06.00,RVOT procedure,510,1,,,
David Celermajer and David Baker 05DEC2022,"Balloon dilation of right ventricular outflow tract,",12.06.05,RVOT procedure,510,1,,,
David Celermajer and David Baker 05DEC2022,"Stent placement in right ventricular outflow tract,",12.06.18,RVOT procedure,510,1,,,
David Celermajer and David Baker 05DEC2022,"1.5 ventricle repair: superior cavopulmonary (Glenn) anastomosis + right ventricular outflow tract reconstruction,",12.06.19,1 1/2 ventricular repair,520,1,Complex CHD,01.01.99,EXCLUDE
David Celermajer 18JUL2023,"Transluminal right ventricular biopsy,",12.06.25,"Cardiac procedure, Other",2010,0,,,
David Celermajer 18JUL2023,"Right ventricular procedure,",12.06.26,"Cardiac procedure, Other",2010,0,,,
David Celermajer and David Baker 05DEC2022,"Right ventricular procedure, Double chambered right ventricle repair,",12.06.35,DCRV repair,570,1,Double-chambered right ventricle,07.03.01,07.03.01
David Celermajer 18JUL2023,"Right ventricular procedure, Right ventricular aneurysm repair,",12.06.38,"Cardiac procedure, Other",2010,0,,,
David Celermajer and David Baker 05DEC2022,"Right ventricular outflow tract procedure, Right ventricular outflow tract obstruction relief,",12.06.41,RVOT procedure,510,1,,,
David Celermajer and David Baker 05DEC2022,"Conduit construction procedure, Right ventricle to pulmonary artery valveless conduit construction (Japanese modification: 'Sano') as part of Norwood procedure,",12.06.43,"Conduit placement, RV to PA",610,1,,,
David Celermajer 18JUL2023,"Left ventricular outflow tract procedure,",12.07.00,"Cardiac procedure, Other",2010,0,Subaortic Stenosis,07.09.00,07.09.00
David Celermajer and David Baker 05DEC2022,"Left ventricular outflow tract procedure, Left ventricular outflow tract obstruction relief, Subaortic fibromuscular shelf resection,",12.07.01,"Aortic stenosis, Subvalvar, Repair",780,1,Subaortic Stenosis,07.09.00,07.09.00
David Celermajer and David Baker 05DEC2022,"Balloon dilation of left ventricular outflow tract,",12.07.07,"Cardiac procedure, Other",2010,1,Subaortic Membrane,07.09.03,07.09.03
David Celermajer 18JUL2023,"Left ventricular outflow tract procedure, Left ventricular outflow tract obstruction relief, Left ventricular outflow tract myectomy-myotomy,",12.07.11,"Aortic stenosis, Subvalvar, Repair, With myectomy for IHSS",2100,0,Subaortic Stenosis,07.09.00,07.09.00
David Celermajer and David Baker 05DEC2022,"Left ventricular outflow tract procedure, Left ventricular outflow tract obstruction relief, Left ventricular outflow tract obstruction relief: complex (Konno etc),",12.07.12,,3380 but manual review required from STS to EPCC,1,Subaortic Stenosis,07.09.00,07.09.00
David Celermajer and David Baker 05DEC2022,"Left ventricular outflow tract procedure, Left ventricular outflow tract obstruction relief,",12.07.13,"Aortic stenosis, Subvalvar, Repair",780,1,Subaortic Stenosis,07.09.00,07.09.00
David Celermajer 18JUL2023,"Transluminal chemical occlusion of coronary artery, Left ventricular outflow tract obstruction relief by transcatheter coronary chemical ablation,",12.07.19,"Coronary artery procedure, Other",1310,0,,,
David Celermajer 18JUL2023,"Left ventricular procedure,",12.07.26,"Cardiac procedure, Other",2010,0,,,
David Celermajer and David Baker 05DEC2022,"Left ventricular procedure, Left ventricular aneurysm repair,",12.07.37,"Aneurysm, Ventricular, Left, Repair",1730,1,,,
David Celermajer 18JUL2023,"Left ventricular procedure, Partial left ventriculectomy-volume reduction (Batista),",12.07.38,Partial left ventriculectomy (LV volume reduction surgery) (Batista),910,0,,,
David Celermajer and David Baker 05DEC2022,"Ventricular septal defect (VSD) closure,",12.08.01,,Manual review required (likely one of the next 4 or 5 more specific options),1,VSD,07.10.00r,07.10.00
David Celermajer and David Baker 05DEC2022,"Ventricular septal defect (VSD) closure, Ventricular septal defect (VSD) closure by direct suture,",12.08.02,"VSD repair, Primary closure",100,1,VSD,07.10.00r,07.10.00
David Celermajer and David Baker 05DEC2022,"Ventricular septal defect (VSD) closure, Ventricular septal defect (VSD) closure using patch,",12.08.03,"VSD repair, Patch",110,1,VSD,07.10.00r,07.10.00
David Celermajer and David Baker 05DEC2022,"Ventricular septal defect (VSD) enlargement/ creation, Ventricular septal defect (VSD) enlargement,",12.08.06,VSD creation/enlargement,140,1,Complex CHD,01.01.99,EXCLUDE
David Celermajer and David Baker 05DEC2022,"Ventricular septal defect (VSD) closure with transluminal device,",12.08.07,"VSD repair, Device",120,1,VSD,07.10.00r,07.10.00
David Celermajer and David Baker 05DEC2022,"Ventricular septal defect (VSD) closure, Closure of multiple ventricular septal defect (VSD)s,",12.08.16,"VSD, Multiple, Repair",130,1,VSD,07.10.00r,07.10.00
David Celermajer and David Baker 05DEC2022,"Open fenestration of ventricular septal defect (VSD) patch,",12.08.19,Ventricular septal fenestration,150,1,,,
David Celermajer and David Baker 05DEC2022,"Transluminal fenestration of ventricular septal defect (VSD) patch,",12.08.20,Ventricular septal fenestration,150,1,,,
David Celermajer and David Baker 05DEC2022,"Right ventricular outflow tract procedure, Subpulmonary obstruction relief,",12.08.21,RVOT procedure,510,1,,,
David Celermajer 18JUL2023,"Left ventricular outflow tract procedure, Left ventricular outflow tract obstruction relief, Subaortic obstruction relief,",12.08.22,"Aortic stenosis, Subvalvar, Repair",780,0,Subaortic Stenosis,07.09.00,07.09.00
David Celermajer and David Baker 05DEC2022,"Intraoperative ventricular septal defect (VSD) closure with transluminal device (hybrid approach),",12.08.28,"VSD repair, Device",120,1,VSD,07.10.00r,07.10.00
David Celermajer and David Baker 05DEC2022,"Ventricular septal defect (VSD) enlargement/ creation,",12.08.35,VSD creation/enlargement,140,1,Complex CHD,01.01.99,EXCLUDE
David Celermajer and David Baker 05DEC2022,"Transluminal interventricular communication creation,",12.08.65,"Cardiovascular catheterization procedure, Therapeutic, Perforation (establishing interchamber and/or",2640,1,,,
David Celermajer and David Baker 05DEC2022,"Ventricular septation procedure,",12.09.01,Ventricular septation,1035,1,,,
David Celermajer and David Baker 05DEC2022,"Damus-Kaye-Stansel type procedure: pulmonary trunk to aorta end/side anastomosis,",12.09.03,Damus-Kaye-Stansel procedure (DKS) (creation of AP anastomosis without arch reconstruction),1660,1,Univentricular Heart,01.01.22,01.01.22
David Celermajer and David Baker 05DEC2022,"Norwood type procedure,",12.10.00,Norwood procedure,870,1,HLHS,01.01.09,01.01.09
David Celermajer and David Baker 05DEC2022,"Application of bilateral pulmonary arterial bands & transcatheter placement of stent in arterial duct,",12.10.04,"Hybrid Approach ""Stage 1"", Stent placement in arterial duct (PDA) + application of RPA & LPA bands",2180,1,HLHS,01.01.09,01.01.09
David Celermajer and David Baker 05DEC2022,"Hypoplastic left heart biventricular repair,",12.10.05,HLHS biventricular repair,880,1,HLHS,01.01.09,01.01.09
David Celermajer and David Baker 05DEC2022,"Stent placement in arterial duct (PDA),",12.10.14,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",1550,1,PDA + Complex CHD,"01.01.99, 09.27.21",09.27.21
David Celermajer and David Baker 05DEC2022,"Common arterial trunk (truncus) repair,",12.11.00,Truncus arteriosus repair,230,1,Truncus Arteriosus,09.01.01,09.01.01
David Celermajer and David Baker 05DEC2022,"Truncal valve cusp(s) repair (valvoplasty),",12.11.34,"Valvuloplasty, Truncal valve",240,1,Truncus Arteriosus,09.01.01,09.01.01
David Celermajer and David Baker 05DEC2022,"Truncal valve replacement,",12.11.41,"Valve replacement, Truncal valve",250,1,Truncus Arteriosus,09.01.01,09.01.01
David Celermajer and David Baker 05DEC2022,"Truncal valve repair converted to truncal valvar replacement,",12.11.43,"Valvuloplasty converted to valve replacement in the same operation, Truncal valve",2290,1,Truncus Arteriosus,09.01.01,09.01.01
David Celermajer and David Baker 05DEC2022,"Aortopulmonary window closure,",12.12.01,AP window repair,210,1,Aortopulmonary Window,09.04.01,09.04.01
David Celermajer and David Baker 05DEC2022,"Aortopulmonary window closure with transcatheter device,",12.12.08,"Cardiovascular catheterization procedure, Therapeutic, Device implantation",1560,1,Aortopulmonary Window,09.04.01,09.04.01
David Celermajer and David Baker 05DEC2022,"Pulmonary valvar procedure,",12.13.00,"Valvuloplasty, Pulmonic",590,1,,,
David Celermajer and David Baker 05DEC2022,"Pulmonary valvar procedure, Pulmonary valvotomy: open,",12.13.02,"Valvuloplasty, Pulmonic",590,1,,,
David Celermajer and David Baker 05DEC2022,"Balloon dilation of pulmonary valve,",12.13.05,"Valvuloplasty, Pulmonic",590,1,,,
Approvedjudithwhatson20230214,"Pulmonary valvar transluminal perforation & dilation,",12.13.09,"Valve surgery, Other, Pulmonic",650,1,,,
David Celermajer and David Baker 05DEC2022,"Pulmonary valvar procedure, Pulmonary valvectomy,",12.13.12,"Valve excision, Pulmonary (without replacement)",630,1,,,
David Celermajer and David Baker 05DEC2022,"Pulmonary valvar procedure, Pulmonary valve closure-oversewing,",12.13.15,"Valve closure, Semilunar",640,1,,,
David Celermajer and David Baker 05DEC2022,"Pulmonary valvar replacement (not conduit),",12.13.21,"Valve replacement, Pulmonic (PVR)",600,1,,,
David Celermajer and David Baker 05DEC2022,"Pulmonary valvar replacement using homograft,",12.13.22,"Valve replacement, Pulmonic (PVR)",600,1,,,
David Celermajer 18JUL2023,"Transluminal pulmonary valvar insertion with stent mounted valve,",12.13.51,"Cardiovascular catheterization procedure, Therapeutic, Transcatheter implantation of valve",2660,0,,,
David Celermajer and David Baker 05DEC2022,"Pulmonary valve repair converted to pulmonary valvar replacement,",12.13.55,"Valvuloplasty converted to valve replacement in the same operation, Pulmonic",2270,1,,,
David Celermajer and David Baker 05DEC2022,"Transluminal aortic valvar insertion with stent mounted valve,",12.13.81,"Cardiovascular catheterization procedure, Therapeutic, Transcatheter implantation of valve",2660,1,,,
David Celermajer and David Baker 05DEC2022,"Transapical aortic valve implantation (hybrid approach),",12.13.84,Other procedure,7777,1,,,
David Celermajer and David Baker 05DEC2022,"Transluminal pulmonary valvar insertion with stent mounted valve including prestenting,",12.13.85,"Cardiovascular catheterization procedure, Therapeutic, Transcatheter implantation of valve",2660,1,,,
David Celermajer and David Baker 05DEC2022,"Transluminal pulmonary valvar prestenting procedure in preparation for valve replacement,",12.13.86,"Cardiovascular catheterization procedure, Therapeutic, Transcatheter implantation of valve",2660,1,,,
David Celermajer and David Baker 05DEC2022,"Pulmonary trunk arterioplasty,",12.14.01,"PA, reconstruction (plasty), Main (trunk)",530,1,,,
David Celermajer and David Baker 05DEC2022,"Pulmonary trunk band (PA band),",12.14.02,PA banding (PAB),1640,1,,,
David Celermajer and David Baker 05DEC2022,"Pulmonary trunk band removal (de-band),",12.14.03,PA debanding,1650,1,,,
David Celermajer and David Baker 05DEC2022,"Balloon dilation of pulmonary trunk,",12.14.05,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",1540,1,,,
David Celermajer and David Baker 05DEC2022,"Open adjustment of pulmonary trunk band,",12.14.08,PA band adjustment,3200,1,,,
David Celermajer and David Baker 05DEC2022,"Application of right & left pulmonary arterial bands,",12.14.19,PA banding (PAB),1640,1,,,
David Celermajer and David Baker 05DEC2022,"Pulmonary arterioplasty/ reconstruction,",12.14.20,,Manual review required (likely one of the next more specific options),1,,,
David Celermajer and David Baker 05DEC2022,"Pulmonary arterioplasty/ reconstruction, Pulmonary arterioplasty/ reconstruction: central (proximal to hilar bifurcation),",12.14.21,"PA, reconstruction (plasty), Branch, Central (within the hilar bifurcation)",540,1,,,
David Celermajer and David Baker 05DEC2022,"Pulmonary arterioplasty/ reconstruction, Pulmonary arterioplasty/ reconstruction: peripheral (at-beyond hilar bifurcation),",12.14.22,"PA, reconstruction (plasty), Branch, Peripheral (at or beyond the first lobar branch)",550,1,,,
David Celermajer and David Baker 05DEC2022,"Pulmonary artery origin from ascending aorta (hemitruncus) repair,",12.14.30,Pulmonary artery origin from ascending aorta (hemitruncus) repair,220,1,Hemitruncus,09.09.08,09.09.08
David Celermajer and David Baker 05DEC2022,"Pulmonary artery ligation,",12.14.31,"Ligation, Pulmonary artery",1790,1,,,
David Celermajer and David Baker 05DEC2022,"Balloon dilation of right pulmonary artery,",12.15.03,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",1540,1,,,
David Celermajer and David Baker 05DEC2022,"Balloon dilation of left pulmonary artery,",12.15.04,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",1540,1,,,
David Celermajer and David Baker 05DEC2022,"Application of right pulmonary artery band,",12.15.05,PA banding (PAB),1640,1,,,
David Celermajer and David Baker 05DEC2022,"Application of left pulmonary artery band,",12.15.06,PA banding (PAB),1640,1,,,
David Celermajer 18JUL2023,"Procedure involving pulmonary artery,",12.15.11,"Cardiac procedure, Other",2010,0,,,
David Celermajer and David Baker 05DEC2022,"Stent placement in right pulmonary artery,",12.15.13,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",1550,1,,,
David Celermajer and David Baker 05DEC2022,"Stent placement in left pulmonary artery,",12.15.14,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",1550,1,,,
David Celermajer and David Baker 05DEC2022,"Pulmonary artery aneurysm repair,",12.15.24,"Aneurysm, Pulmonary artery, Repair",1740,1,,,
David Celermajer and David Baker 05DEC2022,"Pulmonary trunk flow restriction using transcatheter implanted device,",12.15.25,"Cardiac procedure, Other",2010,1,,,
