CHAANZ_SOURCE,PROCEDURE_IPCCC_R,IPCCC_CODE_R,PROCEDURE_STS_R,STS_CODE_R,PROC_ELIGIBILITY,implied_diagnosis,implied_code,implied_code_drt
David Celermajer 18JUL2023,"Pulmonary thromboembolectomy,",12.15.48,"Pulmonary embolectomy, Acute pulmonary embolus",1802,0,,,
David Celermajer 18JUL2023,"Transluminal embolectomy from pulmonary tree,",12.15.49,,,0,,,
David Celermajer and David Baker 05DEC2022,"Stent placement in pulmonary tree,",12.15.50,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",1550,1,,,
David Celermajer and David Baker 05DEC2022,"Balloon dilation of pulmonary tree with cutting balloon,",12.15.53,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",1540,1,,,
David Celermajer 18JUL2023,"Pulmonary thromboembolectomy for acute embolus,",12.15.80,"Pulmonary embolectomy, Acute pulmonary embolus",1802,0,,,
David Celermajer 18JUL2023,"Pulmonary thromboembolectomy for chronic (longstanding) embolus,",12.15.81,"Pulmonary embolectomy, Chronic pulmonary embolus",1804,0,,,
David Celermajer 18JUL2023,"Aortic valvar procedure,",12.16.00,,3655,0,,,
David Celermajer and David Baker 05DEC2022,"Aortic valvar procedure, Aortic valvotomy: open,",12.16.02,"Valvuloplasty, Aortic",660,1,,,
David Celermajer and David Baker 05DEC2022,"Aortic valvar procedure, Aortic valvotomy: closed,",12.16.04,"Valvuloplasty, Aortic",660,1,,,
David Celermajer 18JUL2023,"Balloon dilation of aortic valve,",12.16.05,"Valvuloplasty, Aortic",660,0,,,
David Celermajer and David Baker 05DEC2022,"Aortic valvar procedure, Aortic cusp(s) repair (valvoplasty),",12.16.11,"Valvuloplasty, Aortic",660,0,,,
David Celermajer and David Baker 05DEC2022,"Aortic valvar procedure, 'Annuloplasty' of aortic valve,",12.16.14,"Valvuloplasty, Aortic",660,1,,,
David Celermajer 18JUL2023,"Aortic valvar procedure, Aortic valvar replacement,",12.16.21,"Valve replacement, Aortic (AVR)",670,0,,,
David Celermajer and David Baker 05DEC2022,"Aortic valvar procedure, Aortic valvar replacement, Aortic valvar replacement using homograft,",12.16.22,"Valve replacement, Aortic (AVR), Homograft",700,0,,,
David Celermajer and David Baker 05DEC2022,"Aortic valvar transluminal perforation & dilation,",12.16.25,"Valvuloplasty, Aortic",660,1,,,
David Celermajer and David Baker 05DEC2022,"Aortic valvar procedure, Aortic valvar replacement, Aortic valvar replacement using heterograft bioprosthesis,",12.16.28,"Valve replacement, Aortic (AVR), Bioprosthetic",690,0,,,
David Celermajer and David Baker 05DEC2022,"Aortic valvar procedure, Aortic valvar replacement, Aortic valvar replacement using mechanical prosthesis,",12.16.29,"Valve replacement, Aortic (AVR), Mechanical",680,0,,,
David Celermajer and David Baker 05DEC2022,"Ross procedure: aortic valve or root replacement with pulmonary autograft & pulmonary valvar replacement,",12.16.30,Ross procedure,740,1,,,
David Celermajer and David Baker 05DEC2022,"Aortic root replacement + coronary artery reimplantation (Bentall),",12.16.33,"Aortic root replacement, Homograft",730,1,,,
David Celermajer and David Baker 05DEC2022,"Ascending aorta replacement, Ascending aorta replacement & aortic valvar resuspension,",12.16.35,,3655,1,,,
David Celermajer and David Baker 05DEC2022,"Supravalvar aortic stenosis repair,",12.16.40,"Aortic stenosis, Supravalvar, Repair",790,1,Supra-valve Aortic Stenosis,09.16.00,09.16.00
David Celermajer 18JUL2023,"Aorta aneurysm repair,",12.16.42,Aortic aneurysm repair,1380,0,,,
David Celermajer and David Baker 05DEC2022,"Aortic root replacement (not Ross),",12.16.50,,Manual review required - likely one of the next 4-5 options,1,,,
David Celermajer 18JUL2023,"Aortic dissection repair,",12.16.59,Aortic dissection repair,1390,0,,,
David Celermajer and David Baker 05DEC2022,"Aortic valvar procedure, Aortic valve closure-oversewing,",12.16.61,"Valve closure, Semilunar",640,1,,,
David Celermajer and David Baker 05DEC2022,"Ross-Konno procedure,",12.16.62,Ross-Konno procedure,760,1,,,
David Celermajer 18JUL2023,"Aortic root replacement (not Ross), Aortic root replacement using homograft,",12.16.63,"Aortic root replacement, Homograft",730,0,,,
David Celermajer 18JUL2023,"Aortic root replacement (not Ross), Aortic root replacement using mechanical prosthesis,",12.16.64,"Aortic root replacement, Mechanical",720,0,,,
David Celermajer 18JUL2023,"Ascending aorta replacement,",12.16.65,,3655,0,,,
David Celermajer 18JUL2023,"Aorta aneurysm repair, Aortic arch aneurysm repair,",12.16.66,Aortic aneurysm repair,1380,0,,,
David Celermajer and David Baker 05DEC2022,"Aorta aneurysm repair, Descending aorta aneurysm repair,",12.16.67,Aortic aneurysm repair,1380,1,,,
David Celermajer 18JUL2023,"Aorta aneurysm repair, Abdominal aorta aneurysm repair,",12.16.68,Aortic aneurysm repair,1380,0,,,
David Celermajer and David Baker 05DEC2022,"Aortic sinus of Valsalva procedure,",12.16.80,,Manual review from STS to EPCC,1,,,
David Celermajer and David Baker 05DEC2022,"Aortic sinus of Valsalva procedure, Aortic sinus of Valsalva distal fistula closure,",12.16.81,,Manual review from STS to EPCC,1,,,
David Celermajer and David Baker 05DEC2022,"Aortic sinus of Valsalva procedure, Aortic sinus of Valsalva aneurysm repair,",12.16.85,"Sinus of Valsalva, Aneurysm repair",810,1,,,
David Celermajer and David Baker 05DEC2022,"Aorto-left ventricular tunnel closure,",12.16.90,LV to aorta tunnel repair,820,1,,,
David Celermajer 18JUL2023,"Aortic valvar procedure, Aortic valvar replacement, Aortic valve repair converted to aortic valvar replacement,",12.16.97,"Valvuloplasty converted to valve replacement in the same operation, Aortic",2240,0,,,
David Celermajer and David Baker 05DEC2022,"Vascular ring procedure,",12.17.11,Vascular ring repair,1360,1,,,
David Celermajer 18JUL2023,"Aortopexy,",12.17.31,Aortopexy,1365,0,,,
David Celermajer and David Baker 05DEC2022,"Vascular ring procedure, Pulmonary arterial sling repair,",12.17.32,Pulmonary artery sling repair,1370,1,,,
David Celermajer 18JUL2023,"Aortic root replacement (not Ross), Aortic root replacement using bioprosthesis,",12.17.90,"Aortic root replacement, Bioprosthetic",715,0,,,
David Celermajer 18JUL2023,"Aortic root replacement (not Ross), Aortic root replacement: valve sparing technique,",12.17.91,"Aortic root replacement, Valve sparing",735,0,,,
David Celermajer and David Baker 05DEC2022,"Aortic root replacement of implanted pulmonary autograft & pulmonary valve re-replacement,",12.17.99,,Manual review required,1,Complex CHD,01.01.99,EXCLUDE
Approvedjudithwhatson20230214,"Aortic arch repair, Coarctation-hypoplasia of aorta repair,",12.18.00,"Coarctation repair, Other",1260,1,CoA,09.29.01,09.29.01
Approvedjudithwhatson20230214,"Aortic arch repair, Coarctation-hypoplasia of aorta repair, Aortic coarctation-hypoplasia repair by resection & end to end anastomosis,",12.18.01,"Coarctation repair, End to end",1210,1,CoA,09.29.01,09.29.01
Approvedjudithwhatson20230214,"Aortic arch repair, Coarctation-hypoplasia of aorta repair, Aortic coarctation-hypoplasia repair by patch aortoplasty,",12.18.02,"Coarctation repair, Patch aortoplasty",1240,1,CoA,09.29.01,09.29.01
Approvedjudithwhatson20230214,"Aortic arch repair, Coarctation-hypoplasia of aorta repair, Aortic coarctation-hypoplasia repair by subclavian flap aortoplasty,",12.18.03,"Coarctation repair, Subclavian flap",1230,1,CoA,09.29.01,09.29.01
David Celermajer and David Baker 05DEC2022,"Balloon dilation of native aortic coarctation-hypoplasia,",12.18.04,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",1540,1,CoA,09.29.01,09.29.01
David Celermajer and David Baker 05DEC2022,"Balloon dilation of aortic recoarctation,",12.18.08,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",1540,1,CoA,09.29.01,09.29.01
Approvedjudithwhatson20230214,"Aortic arch repair, Coarctation-hypoplasia of aorta repair, Aortic coarctation-hypoplasia repair by resection & extended end to end anastomosis,",12.18.10,"Coarctation repair, End to end, Extended",1220,1,CoA,09.29.01,09.29.01
Approvedjudithwhatson20230214,"Aortic arch repair, Coarctation-hypoplasia of aorta repair, Aortic coarctation-hypoplasia repair by resection & insertion of tube graft,",12.18.15,"Coarctation repair, Interposition graft",1250,1,CoA,09.29.01,09.29.01
David Celermajer and David Baker 05DEC2022,"Stent placement at site of aortic coarctation,",12.18.17,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",1550,1,CoA,09.29.01,09.29.01
David Celermajer and David Baker 05DEC2022,"Stent placement at site of aortic recoarctation,",12.18.22,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",1550,1,CoA,09.29.01,09.29.01
David Celermajer and David Baker 05DEC2022,"Aortic coarctation transluminal obstruction relief,",12.18.27,"Coarctation repair, Other",1260,1,CoA,09.29.01,09.29.01
David Celermajer and David Baker 05DEC2022,"Aortic arch repair,",12.18.30,Aortic arch repair,1280,1,CoA,09.29.01,09.29.01
David Celermajer and David Baker 05DEC2022,"Stent placement at site of native aortic coarctation-hypoplasia,",12.18.48,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",1550,1,CoA,09.29.01,09.29.01
David Celermajer 18JUL2023,"Thoracic aorta aneurysm transcatheter stent implantation,",12.18.70,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",1550,0,,,
David Celermajer and David Baker 05DEC2022,"Hypoplastic left heart syndrome hybrid approach (transcatheter & surgery): stage 1,",12.20.20,"Cardiac procedure, Other",2010,1,HLHS,01.01.09,01.01.09
David Celermajer and David Baker 05DEC2022,"Hypoplastic left heart syndrome hybrid strategy (transcatheter & surgery),",12.20.21,"Cardiac procedure, Other",2010,1,HLHS,01.01.09,01.01.09
David Celermajer and David Baker 05DEC2022,"Hypoplastic left heart syndrome hybrid approach (transcatheter & surgery) 'stage 2':  aortopulmonary amalgamation + superior cavopulmonary anastomosis(es) + debanding of pulmonary arteries,",12.20.22,"Cardiac procedure, Other",2010,1,HLHS,01.01.09,01.01.09
David Celermajer and David Baker 05DEC2022,"Hypoplastic left heart syndrome hybrid approach (transcatheter & surgery) 'stage 2':  aortopulmonary amalgamation + superior cavopulmonary anastomosis(es) + debanding of pulmonary arteries + arch repair,",12.20.23,"Hybrid approach ""Stage 2"", Aortopulmonary amalgamation + Superior Cavopulmonary anastomosis(es) + PA",2140,1,HLHS,01.01.09,01.01.09
David Celermajer and David Baker 05DEC2022,"Aortic arch repair, Interrupted aortic arch repair,",12.21.00,Interrupted aortic arch repair,1320,1,Interrupted Aortic Arch,09.29.31,09.29.31
David Celermajer 18JUL2023,"Systemic arterial procedure,",12.22.00,,3655,0,,,
David Celermajer and David Baker 05DEC2022,"Anomalous coronary artery (eg ALCAPA) repair,",12.23.00,Anomalous origin of coronary artery from pulmonary artery repair,1291,1,Anomalous Coronary Artery,09.46.00,09.46.00
David Celermajer 18JUL2023,"Coronary fistula procedure,",12.23.07,Coronary artery fistula ligation,1290,0,,,
David Celermajer 18JUL2023,"Coronary arterial bypass graft (CABG) procedure,",12.23.08,Coronary artery bypass,1300,0,,,
David Celermajer 18JUL2023,"Coronary arterial procedure,",12.23.09,"Coronary artery procedure, Other",1310,0,,,
David Celermajer and David Baker 05DEC2022,"Coronary fistula procedure, Ligation of coronary fistula,",12.23.11,Coronary artery fistula ligation,1290,1,,,
David Celermajer and David Baker 05DEC2022,"Coronary arterial fistula transluminal occlusion,",12.23.13,"Coronary artery procedure, Other",1310,1,,,
David Celermajer 18JUL2023,"Transluminal intracoronary injection of thrombolytic agent,",12.23.30,"Coronary artery procedure, Other",1310,0,,,
David Celermajer 18JUL2023,"Transluminal balloon coronary angioplasty (PTCA),",12.23.31,"Coronary artery procedure, Other",1310,0,,,
David Celermajer 18JUL2023,"Transluminal coronary stent implantation,",12.23.38,"Coronary artery procedure, Other",1310,0,,,
David Celermajer 18JUL2023,"Transluminal chemical occlusion of coronary artery,",12.23.42,"Coronary artery procedure, Other",1310,0,,,
David Celermajer and David Baker 05DEC2022,"Anomalous aortic origin of coronary artery repair,",12.23.80,Anomalous aortic origin of coronary artery from aorta (AAOCA) repair,1305,1,Anomalous Coronary Artery,09.42.20,09.42.20
David Celermajer and David Baker 05DEC2022,"Arterial duct-ligament procedure,",12.24.00,"Cardiac procedure, Other",2010,1,PDA,09.27.21,09.27.21
David Celermajer and David Baker 05DEC2022,"Arterial duct (PDA) closure with transluminal device,",12.24.04,"PDA closure, Device",1340,1,PDA,09.27.21r,09.27.21
David Celermajer and David Baker 05DEC2022,"Arterial duct-ligament procedure, Arterial duct (PDA) closure,",12.24.10,,Manual review required,1,PDA,09.27.21r,09.27.21
David Celermajer and David Baker 05DEC2022,"Arterial duct-ligament procedure, Arterial duct (PDA) closure, Patent arterial duct (PDA) closure: surgical,",12.24.20,"PDA closure, Surgical",1330,1,PDA,09.27.21r,09.27.21
David Celermajer and David Baker 05DEC2022,"Arterial duct (PDA) closure with transluminal device, Arterial duct (PDA) closure with transluminal coil,",12.24.21,"PDA closure, Device",1340,1,PDA,09.27.21r,09.27.21
David Celermajer and David Baker 05DEC2022,"Arterial duct (PDA) closure with transluminal device, Arterial duct (PDA) closure with transluminal Amplatzer plug,",12.24.22,"PDA closure, Device",1340,1,PDA,09.27.21r,09.27.21
David Celermajer and David Baker 05DEC2022,"Systemic-to-pulmonary collateral artery(ies) (MAPCA(s)) unifocalisation procedure,",12.25.00,Unifocalization MAPCA(s),440,1,MAPCA,09.08.01,09.08.01
David Celermajer 18JUL2023,"Pulmonary arteriovenous fistula closure,",12.25.07,Pulmonary AV fistula repair/occlusion,1780,0,,,
David Celermajer and David Baker 05DEC2022,"Systemic-to-pulmonary collateral artery(ies) (MAPCA(s)) occlusion,",12.25.18,Occlusion of MAPCA(s),450,1,MAPCA,09.08.01,09.08.01
David Celermajer and David Baker 05DEC2022,"Transluminal procedure to systemic-to-pulmonary collateral artery (MAPCA(s)),",12.25.19,"Cardiovascular catheterization procedure, Diagnostic",2500,1,MAPCA,09.08.01,09.08.01
David Celermajer and David Baker 05DEC2022,"Transluminal procedure to systemic-to-pulmonary collateral artery (MAPCA(s)), Stent placement in systemic-to-pulmonary collateral artery (MAPCA(s)),",12.25.62,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",1550,1,MAPCA Stenosis,09.20.25,09.20.25
David Celermajer and David Baker 05DEC2022,"Transluminal procedure to systemic-to-pulmonary collateral artery (MAPCA(s)), Transluminal occlusion of systemic-to-pulmonary collateral artery(ies) (MAPCA(s)) with coil-device,",12.25.65,"Cardiovascular catheterization procedure, Therapeutic, Coil implantation",1580,1,MAPCA,09.08.01,09.08.01
David Celermajer and David Baker 05DEC2022,"Transluminal procedure to systemic-to-pulmonary collateral artery (MAPCA(s)), Balloon dilation of systemic-to-pulmonary collateral artery(ies) (MAPCA(s)),",12.25.72,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",1540,1,MAPCA Stenosis,09.20.25,09.20.25
David Celermajer and David Baker 05DEC2022,"Tetralogy of Fallot repair,",12.26.01,Tetralogy of Fallot repair,420,1,ToF,01.01.01r,01.01.01
David Celermajer and David Baker 05DEC2022,"Tetralogy of Fallot repair, Tetralogy of Fallot repair with transannular patch,",12.26.13,"TOF repair, Ventriculotomy, Transanular patch",370,1,ToF,01.01.01r,01.01.01
David Celermajer and David Baker 05DEC2022,"Tetralogy of Fallot repair, Tetralogy of Fallot repair without transannular patch,",12.26.20,"TOF repair, Ventriculotomy, Nontransanular patch",360,1,ToF,01.01.01r,01.01.01
David Celermajer and David Baker 05DEC2022,"Absent pulmonary valve syndrome (Fallot type) repair,",12.26.21,TOF - Absent pulmonary valve repair,400,1,ToF,01.01.01r,01.01.01
David Celermajer and David Baker 05DEC2022,"Double outlet right ventricle with subaortic or doubly committed ventricular septal defect (VSD) & pulmonary stenosis (Fallot-type) repair,",12.27.01,"DORV, Intraventricular tunnel repair",1180,1,DORV + VSD + Pulmonary Stenosis,01.01.17,01.01.17
David Celermajer and David Baker 05DEC2022,"Double outlet right ventricle repair, Double outlet right ventricle repair with intraventricular tunnel,",12.27.02,"DORV, Intraventricular tunnel repair",1180,1,DORV,01.01.04,01.01.04
David Celermajer and David Baker 05DEC2022,"REV procedure: intraventricular left ventricle to aorta tunnel with infundibular septum resection & direct right ventricle to pulmonary trunk anastomosis,",12.27.45,REV,1160,1,DORV + VSD + Pulmonary Stenosis,01.01.17,01.01.17
David Celermajer and David Baker 05DEC2022,"Congenitally corrected transposition of great arteries repair,",12.27.46,,Manual review required (one of next 2),1,ccTGA,01.01.03,01.01.03
David Celermajer and David Baker 05DEC2022,"Double outlet left ventricle repair,",12.27.50,DOLV repair,1200,1,DOLV,01.05.03,01.05.03
David Celermajer and David Baker 05DEC2022,"Aortic root translocation to over left ventricle (including Nikaidoh),",12.27.78,Aortic root translocation over left ventricle (Including Nikaidoh procedure),2190,1,Complex CHD,01.01.99,EXCLUDE
David Celermajer and David Baker 05DEC2022,"Pulmonary atresia & ventricular septal defect (VSD) (including Fallot-type) repair,",12.28.01,"Pulmonary atresia - VSD (including TOF, PA) repair",420,1,Pulmonary Atresia + VSD,"07.10.00r, 09.05.11","07.10.00, 09.05.11"
David Celermajer and David Baker 05DEC2022,"Pulmonary atresia, ventricular septal defect (VSD) & systemic-to-pulmonary collateral artery(ies) (MAPCA(s)) repair,",12.28.11,"Pulmonary atresia - VSD - MAPCA repair, Complete single stage repair (1-stage that includes bilatera",2700,1,Pulmonary Atresia + VSD + MAPCA,"07.10.00r, 09.05.11, 09.08.01","07.10.00, 09.05.11, 09.08.01"
David Celermajer and David Baker 05DEC2022,"Senning procedure (atrial inversion),",12.29.01,Senning,1130,1,d-TGA,01.05.01,01.05.01
David Celermajer and David Baker 05DEC2022,"Mustard procedure (atrial inversion),",12.29.02,Mustard,1140,1,d-TGA,01.05.01,01.05.01
David Celermajer and David Baker 05DEC2022,"Rastelli procedure: intraventricular left ventricle to aorta tunnel & right ventricle to pulmonary artery conduit,",12.29.11,Rastelli,1150,1,Complex CHD,01.01.99,EXCLUDE
David Celermajer and David Baker 05DEC2022,"Double outlet right ventricle repair,",12.29.20,,Manual review required,1,DORV,01.01.04,01.01.04
David Celermajer and David Baker 05DEC2022,"Arterial switch procedure,",12.29.21,Arterial switch operation (ASO),1110,1,d-TGA,01.05.01r,01.05.01
David Celermajer and David Baker 05DEC2022,"Arterial switch & atrial inversion procedures ('double switch'),",12.29.25,"Congenitally corrected TGA repair, Atrial switch and ASO (double switch)",1050,1,ccTGA,01.01.03,01.01.03
David Celermajer and David Baker 05DEC2022,"Atrial inversion and Rastelli procedures,",12.29.26,"Congenitally corrected TGA repair, Atrial switch and Rastelli",1060,1,ccTGA,01.01.03,01.01.03
David Celermajer and David Baker 05DEC2022,"Complex transposition of great arteries repair,",12.29.40,"TGA, Other procedures (Kawashima, LV-PA conduit, other)",2210,1,TGA,01.05.01,01.05.01
David Celermajer and David Baker 05DEC2022,"Pulmonary venous pathway procedure (post Senning-Mustard),",12.29.52,Anomalous systemic venous connection repair,330,1,d-TGA,01.05.01,01.05.01
David Celermajer and David Baker 05DEC2022,"Atrial inversion procedure (Mustard or Senning) revision,",12.29.79,"Atrial baffle procedure, Mustard or Senning revision",1145,1,d-TGA,01.05.01,01.05.01
David Celermajer and David Baker 05DEC2022,"Fontan type procedure,",12.30.01,,Manual review from STS to EPCC,1,Univentricular Heart,01.01.22,01.01.22
David Celermajer and David Baker 05DEC2022,"Fontan type procedure, Total cavopulmonary connection (TCPC) using extracardiac inferior caval vein (IVC)-pulmonary artery conduit with fenestration,",12.30.05,"Fontan, TCPC, External conduit, Fenestrated",1000,1,Univentricular Heart,01.01.22,01.01.22
David Celermajer and David Baker 05DEC2022,"Fontan type procedure, Total cavopulmonary connection (TCPC) with fenestrated lateral atrial tunnel,",12.30.06,"Fontan, TCPC, Lateral tunnel, Fenestrated",970,1,Univentricular Heart,01.01.22,01.01.22
David Celermajer and David Baker 05DEC2022,"Fontan type procedure, Fontan procedure with atrioventricular connection,",12.30.13,"Fontan, Atrio-ventricular connection",960,1,Univentricular Heart,01.01.22,01.01.22
David Celermajer and David Baker 05DEC2022,"Interatrial communication creation-enlargement, Fenestration of atrial septum,",12.30.20,Atrial septal fenestration,80,1,,,
David Celermajer and David Baker 05DEC2022,"Right atrial septum-tunnel fenestration closure with transluminal device,",12.30.21,Atrial septal fenestration,80,1,Univentricular Heart,01.01.22,01.01.22
David Celermajer and David Baker 05DEC2022,"Fontan type procedure, Fenestration of Fontan type connection,",12.30.27,Atrial septal fenestration,80,1,Univentricular Heart,01.01.22,01.01.22
David Celermajer and David Baker 05DEC2022,"Fontan type procedure, Fontan-type connection without fenestration,",12.30.28,"Fontan, TCPC, Intra/extracardiac conduit, Nonfenestrated",2790,1,Univentricular Heart,01.01.22,01.01.22
David Celermajer and David Baker 05DEC2022,"Takedown of Fontan type procedure,",12.30.31,"Cardiac procedure, Other",2010,1,,,
David Celermajer and David Baker 05DEC2022,"Fontan type procedure, Fontan procedure with direct atriopulmonary anastomosis,",12.30.32,"Fontan, Atrio-pulmonary connection",950,1,Univentricular Heart,01.01.22,01.01.22
David Celermajer and David Baker 05DEC2022,"Fontan type procedure, Conversion of Fontan repair to total cavopulmonary connection,",12.30.34,Fontan revision or conversion (Re-do Fontan),1025,1,Univentricular Heart,01.01.22,01.01.22
David Celermajer and David Baker 05DEC2022,"Fontan type procedure, Fontan type procedure revision or conversion,",12.30.37,Fontan revision or conversion (Re-do Fontan),1025,1,Univentricular Heart,01.01.22,01.01.22
David Celermajer and David Baker 05DEC2022,"Atrial fenestration closure,",12.30.41,Atrial fenestration closure,85,1,Univentricular heart,01.01.22,01.01.22
David Celermajer and David Baker 05DEC2022,"Fontan type procedure, Total cavopulmonary connection (TCPC),",12.30.50,,Manual review from STS to EPCC,1,Univentricular Heart,01.01.22,01.01.22
David Celermajer and David Baker 05DEC2022,"Fontan type procedure, Total cavopulmonary conn (TCPC) with lateral atrial tunnel,",12.30.51,"Fontan, Atrio-pulmonary connection",950,1,Univentricular Heart,01.01.22,01.01.22
David Celermajer and David Baker 05DEC2022,"Fontan type procedure, Total cavopulmonary connection (TCPC) using extracardiac inferior caval vein (IVC)-pulmonary artery conduit,",12.30.54,"Fontan, TCPC, External conduit, Nonfenestrated",1010,1,Univentricular Heart,01.01.22,01.01.22
David Celermajer and David Baker 05DEC2022,"Takedown of Fontan type procedure, Takedown of total cavopulmonary connection (TCPC),",12.30.56,"Cardiac procedure, Other",2010,1,,,
David Celermajer and David Baker 05DEC2022,"Completion of total cavopulmonary connection (TCPC) using transcatheter inferior to superior caval vein covered stent,",12.30.60,"Cardiovascular catheterization procedure, Therapeutic, Transcatheter Fontan completion",2650,1,Univentricular Heart,01.01.22,01.01.22
David Celermajer and David Baker 05DEC2022,"Transluminal interatrial communication creation,",12.30.74,"Cardiovascular catheterization procedure, Therapeutic, Perforation (establishing interchamber and/or",2640,1,,,
David Celermajer and David Baker 05DEC2022,"Systemic-to-pulmonary arterial shunt procedure, Modified Blalock interposition shunt, Modified right Blalock interposition shunt,",12.31.03,"Shunt, Systemic to pulmonary, Modified Blalock-Taussig Shunt (MBTS)",1590,1,Complex CHD,01.01.99,EXCLUDE
David Celermajer and David Baker 05DEC2022,"Systemic-to-pulmonary arterial shunt procedure, Modified Blalock interposition shunt, Modified left Blalock interposition shunt,",12.31.04,"Shunt, Systemic to pulmonary, Modified Blalock-Taussig Shunt (MBTS)",1590,1,,,
David Celermajer and David Baker 05DEC2022,"Systemic-to-pulmonary arterial shunt procedure, Waterston (ascending aorta-right pulmonary artery) anastomosis,",12.31.05,"Shunt, Systemic to pulmonary, Other",1610,1,,,
Approvedjudithwhatson20230214,"Systemic-to-pulmonary arterial shunt procedure, Central systemic-to-pulmonary arterial interposition shunt,",12.31.06,"Shunt, Systemic to pulmonary, Central (shunt from aorta)",1600,1,,,
David Celermajer and David Baker 05DEC2022,"Bidirectional superior cavopulmonary (Glenn) anastomosis,",12.31.11,Bidirectional cavopulmonary anastomosis (BDCPA) (bidirectional Glenn),1670,1,Complex CHD,01.01.99,EXCLUDE
David Celermajer and David Baker 05DEC2022,"Hemi-Fontan procedure,",12.31.15,HemiFontan,1700,1,Univentricular Heart,01.01.22,01.01.22
David Celermajer and David Baker 05DEC2022,"Balloon dilation of systemic-to-pulmonary arterial shunt,",12.31.19,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",1540,1,,,
David Celermajer and David Baker 05DEC2022,"Systemic-to-pulmonary arterial shunt procedure,",12.31.30,,Manual review,1,,,
David Celermajer and David Baker 05DEC2022,"Closure of systemic-to-pulmonary arterial shunt,",12.31.31,"Shunt, Systemic to pulmonary, Other",1610,1,,,
David Celermajer and David Baker 05DEC2022,"Occlusion of systemic-to-pulmonary arterial shunt by transluminal device-embolus,",12.31.34,"Cardiovascular catheterization procedure, Therapeutic, Device implantation",1560,1,,,
David Celermajer and David Baker 05DEC2022,"Takedown of Glenn,",12.31.42,Takedown of superior cavopulmonary anastomosis,3300,1,,,
David Celermajer and David Baker 05DEC2022,"Bilateral bidirectional superior cavopulmonary (Glenn) anastomoses,",12.31.44,Bilateral bidirectional cavopulmonary anastomosis (BBDCPA) (bilateral bidirectional Glenn),1690,1,Univentricular Heart,01.01.22,01.01.22
David Celermajer and David Baker 05DEC2022,"Unidirectional superior cavopulmonary (Glenn) anastomosis,",12.31.45,Glenn (unidirectional cavopulmonary anastomosis) (unidirectional Glenn),1680,1,Univentricular Heart,01.01.22,01.01.22
David Celermajer and David Baker 05DEC2022,"Systemic-to-pulmonary arterial shunt procedure, Modified Blalock interposition shunt,",12.31.46,"Shunt, Systemic to pulmonary, Modified Blalock-Taussig Shunt (MBTS)",1590,1,Complex CHD,01.01.99,EXCLUDE
David Celermajer and David Baker 05DEC2022,"Superior caval vein to pulmonary artery anastomosis,",12.31.72,,Manual review required from EPCC to STS,1,,,
David Celermajer and David Baker 05DEC2022,"Postoperative procedure,",12.32.00,Other procedure,7777,0,,,
David Celermajer and David Baker 05DEC2022,"Lung procedure, Lung biopsy procedure,",12.32.06,Lung biopsy,1400,0,,,
David Celermajer and David Baker 05DEC2022,"Pericardiectomy,",12.32.09,Pericardiectomy,930,0,,,
David Celermajer and David Baker 05DEC2022,"Heart tumour resection,",12.32.10,Cardiac tumor resection,1760,0,,,
David Celermajer and David Baker 05DEC2022,"Transplantation of heart and lungs,",12.32.13,"Transplant, Heart and lung",900,0,,,
David Celermajer and David Baker 05DEC2022,"DC cardioversion,",12.32.14,"Cardiac procedure, Other",2010,0,,,
David Celermajer and David Baker 05DEC2022,"Pleural procedure, Parietal pleurectomy,",12.32.17,"Pleural procedure, Other",1820,0,,,
David Celermajer and David Baker 05DEC2022,"Postoperative procedure, Postoperative procedure to control bleeding,",12.32.18,Other procedure,7777,0,,,
David Celermajer and David Baker 05DEC2022,"Removal of cardiac vegetations,",12.32.20,Other procedure,7777,0,,,
David Celermajer and David Baker 05DEC2022,"Cardiac procedure,",12.32.21,"Cardiac procedure, Other",2010,0,,,
