CHAANZ_SOURCE,PROCEDURE_IPCCC_R,IPCCC_CODE_R,PROCEDURE_STS_R,STS_CODE_R,PROC_ELIGIBILITY,implied_diagnosis,implied_code,implied_code_drt
David Celermajer and David Baker 05DEC2022,"Removal of cardiac thrombus,",12.32.22,Cardiac tumor resection,1760,0,,,
David Celermajer and David Baker 05DEC2022,"Postoperative procedure, Thoracic duct occlusion,",12.32.28,Other procedure,7777,0,,,
David Celermajer and David Baker 05DEC2022,"Diaphragm procedure,",12.32.29,"Diaphragm procedure, Other",1890,0,,,
David Celermajer and David Baker 05DEC2022,"Pericardiocentesis,",12.32.40,Pericardial drainage procedure,920,0,,,
David Celermajer and David Baker 05DEC2022,"Pericardiocentesis, Pericardial drainage: open (pericardiotomy),",12.32.41,Pericardial drainage procedure,920,0,,,
David Celermajer and David Baker 05DEC2022,"Pericardiocentesis: percutaneous transcatheter,",12.32.43,Pericardial drainage procedure,920,0,,,
David Celermajer and David Baker 05DEC2022,"Pericardiocentesis, Pericardial window creation,",12.32.46,Pericardial drainage procedure,920,0,,,
David Celermajer and David Baker 05DEC2022,"Pericardial biopsy,",12.32.53,"Pericardial procedure, Other",940,0,,,
David Celermajer and David Baker 05DEC2022,"Procedure involving pericardium,",12.32.59,"Pericardial procedure, Other",940,0,,,
David Celermajer and David Baker 05DEC2022,"Postoperative procedure, Plication of hemidiaphragm,",12.32.70,Diaphragm plication,1880,0,,,
David Celermajer and David Baker 05DEC2022,"Pleural procedure, Insertion of pleural tube drain,",12.32.80,Pleural drainage procedure,1810,0,,,
David Celermajer and David Baker 05DEC2022,"Mediastinal procedure, Insertion of mediastinal tube drain,",12.32.83,Mediastinal procedure,1860,0,,,
David Celermajer and David Baker 05DEC2022,"Traumatic injury of heart repair,",12.33.10,"Cardiac procedure, Other",2010,0,,,
David Celermajer and David Baker 05DEC2022,"Peripheral vascular procedure,",12.33.51,"Peripheral vascular procedure, Other",2030,0,,,
David Celermajer and David Baker 05DEC2022,"Non-cardiothoracic-vascular procedure,",12.33.52,Other procedure,7777,0,,,
David Celermajer and David Baker 05DEC2022,"Non-cardiothoracic-vascular procedure on cardiac patient under cardiac anaesthesia,",12.33.53,"Non-cardiovascular, Non-thoracic procedure on cardiac patient with cardiac anesthesia",2435,0,,,
David Celermajer and David Baker 05DEC2022,"Operation related to transcatheter procedure,",12.33.60,Other procedure,7777,0,,,
David Celermajer and David Baker 05DEC2022,"Pacemaker system placement: permanent, Pacemaker system placement: single chamber,",12.34.50,"Pacemaker implantation, Permanent",1450,0,,,
David Celermajer and David Baker 05DEC2022,"Pacemaker system placement: permanent, Pacemaker system placement: dual chamber,",12.34.51,"Pacemaker implantation, Permanent",1450,0,,,
David Celermajer and David Baker 05DEC2022,"Pacemaker system placement: permanent, Pacemaker system placement: biventricular,",12.34.52,"Pacemaker implantation, Permanent",1450,0,,,
David Celermajer and David Baker 05DEC2022,"Pacemaker system placement: temporary,",12.34.60,Pacemaker procedure,1460,0,,,
David Celermajer and David Baker 05DEC2022,"Pacemaker system placement: permanent, Pacemaker system placement: permanent epicardial,",12.34.63,"Pacemaker implantation, Permanent",1450,0,,,
David Celermajer and David Baker 05DEC2022,"Pacemaker system placement: permanent, Pacemaker system placement: permanent endocardial,",12.34.64,"Pacemaker implantation, Permanent",1450,0,,,
David Celermajer and David Baker 05DEC2022,"Pacemaker system placement: permanent,",12.34.67,"Pacemaker implantation, Permanent",1450,0,,,
David Celermajer and David Baker 05DEC2022,"Pacemaker procedure,",12.34.68,Pacemaker procedure,1460,0,,,
David Celermajer and David Baker 05DEC2022,"Pacemaker wire procedure,",12.34.70,Pacemaker procedure,1460,0,,,
David Celermajer and David Baker 05DEC2022,"Cardiac resynchronisation therapy (biventricular pacing),",12.34.73,Pacemaker procedure,1460,0,,,
David Celermajer and David Baker 05DEC2022,"Pacemaker wire procedure, Pacemaker wire revision procedure,",12.34.84,Pacemaker procedure,1460,0,,,
David Celermajer and David Baker 05DEC2022,"Pulse generator box placement,",12.34.85,Pacemaker procedure,1460,0,,,
David Celermajer and David Baker 05DEC2022,"Pulse generator box placement, Pulse generator box replacement,",12.35.13,Pacemaker procedure,1460,0,,,
David Celermajer and David Baker 05DEC2022,"Removal of complete implanted cardiac pacemaker system,",12.35.14,Explantation of pacing system,2350,0,,,
David Celermajer and David Baker 05DEC2022,"Arrhythmia surgical procedure,",12.35.40,,Manual review,0,,,
David Celermajer and David Baker 05DEC2022,"Transluminal ablation procedure for arrhythmia, Transluminal cryoablation procedure for arrhythmia,",12.35.46,"Cardiovascular catheterization procedure, Therapeutic, Electrophysiological ablation.",2690,0,,,
David Celermajer and David Baker 05DEC2022,"Transluminal ablation procedure for arrhythmia, Transluminal radiofrequency ablation procedure for arrhythmia,",12.35.48,"Cardiovascular catheterization procedure, Therapeutic, Electrophysiological ablation.",2690,0,,,
David Celermajer and David Baker 05DEC2022,"Maze operation,",12.35.53,"Arrhythmia surgery - atrial, Surgical Ablation",1490,0,,,
David Celermajer and David Baker 05DEC2022,"Transluminal procedure for arrhythmia,",12.35.57,"Cardiovascular catheterization procedure, Diagnostic, Electrophysiology alteration",2550,0,,,
David Celermajer and David Baker 05DEC2022,"Cox-Maze IV procedure,",12.35.72,"Arrhythmia surgery - atrial, Surgical Ablation",1490,0,,,
David Celermajer and David Baker 05DEC2022,"Arrhythmia surgical procedure, Surgical ablation procedure for atrial arrhythmia,",12.35.80,"Arrhythmia surgery - atrial, Surgical Ablation",1490,0,,,
David Celermajer and David Baker 05DEC2022,"Arrhythmia surgical procedure, Surgical ablation procedure for ventricular arrhythmia,",12.35.81,"Arrhythmia surgery - ventricular, Surgical Ablation",1500,0,,,
David Celermajer and David Baker 05DEC2022,"Transluminal ablation procedure for arrhythmia, Transluminal procedure for atrial arrhythmia,",12.35.82,"Cardiovascular catheterization procedure, Therapeutic, Electrophysiological ablation.",2690,0,,,
David Celermajer and David Baker 05DEC2022,"Transluminal ablation procedure for arrhythmia, Transluminal procedure for ventricular arrhythmia,",12.35.83,"Cardiovascular catheterization procedure, Therapeutic, Electrophysiological ablation.",2690,0,,,
David Celermajer and David Baker 05DEC2022,"Transluminal ablation procedure for arrhythmia, Transluminal ablation procedure with pulmonary vein exclusion,",12.35.84,"Cardiovascular catheterization procedure, Therapeutic, Electrophysiological ablation.",2690,0,,,
David Celermajer and David Baker 05DEC2022,"Conduit construction procedure,",12.36.00,"Conduit placement, Other",1772,0,Complex CHD,01.01.99,EXCLUDE
David Celermajer and David Baker 05DEC2022,"Conduit construction procedure, Right ventricle to pulmonary arterial tree conduit construction,",12.36.01,RVOT procedure,510,0,Complex CHD,01.01.99,EXCLUDE
David Celermajer and David Baker 05DEC2022,"Conduit construction procedure, Left ventricle to pulmonary artery conduit construction,",12.36.02,"Conduit placement, LV to PA",620,0,Complex CHD,01.01.99,EXCLUDE
David Celermajer and David Baker 05DEC2022,"Procedure involving constructed cardiac conduit-shunt, Replacement of cardiac conduit,",12.36.10,Conduit reoperation,580,0,Complex CHD,01.01.99,EXCLUDE
David Celermajer 18JUL2023,"Balloon dilation of cardiac conduit,",12.36.14,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",1540,1,Complex CHD,01.01.99,EXCLUDE
David Celermajer 18JUL2023,"Stent placement in cardiac conduit,",12.36.23,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",1550,1,Complex CHD,01.01.99,EXCLUDE
David Celermajer 18JUL2023,"Conduit construction procedure, Ventricle to aorta conduit construction,",12.36.35,"Aortic stenosis, Subvalvar, Repair",780,1,,,
David Celermajer 18JUL2023,"Procedure involving constructed cardiac conduit-shunt,",12.36.40,"Conduit placement, Other",1772,1,,,
David Celermajer 18JUL2023,"Procedure involving constructed cardiac conduit-shunt, Clip applied to cardiac conduit or systemic-to-pulmonary arterial shunt,",12.36.45,"Conduit placement, Other",1772,1,,,
David Celermajer and David Baker 05DEC2022,"Heart transplant,",12.37.01,"Transplant, Heart",890,0,,,
David Celermajer and David Baker 05DEC2022,"Heart transplant, Transplantation of heart: orthotopic allotransplant,",12.37.02,"Transplant, Heart",890,0,,,
David Celermajer and David Baker 05DEC2022,"Heart transplant, Transplantation of heart: heterotopic (piggy back) allotransplant,",12.37.03,"Transplant, Heart",890,0,,,
David Celermajer and David Baker 05DEC2022,"Prosthetic heart (total artificial heart) implantation,",12.37.04,Right/left heart assist device procedure,1920,0,,,
David Celermajer and David Baker 05DEC2022,"Heart transplant, Transplantation of heart: ABO incompatible donor,",12.37.06,"Transplant, Heart",890,0,,,
David Celermajer and David Baker 05DEC2022,"Lung(s) transplant, Single lung transplant,",12.37.13,"Transplant, lung(s)",1410,0,,,
David Celermajer and David Baker 05DEC2022,"Lung(s) transplant, Double lung transplant,",12.37.20,"Transplant, lung(s)",1410,0,,,
David Celermajer and David Baker 05DEC2022,"Lung(s) transplant,",12.37.60,"Transplant, lung(s)",1410,0,,,
David Celermajer and David Baker 05DEC2022,"Organ procurement for transplantation,",12.37.70,Organ procurement,2050,0,,,
David Celermajer and David Baker 05DEC2022,"Transluminal left atrial appendage occlusion with device,",12.38.25,"Cardiovascular catheterization procedure, Therapeutic, Device implantation",1560,0,,,
David Celermajer and David Baker 05DEC2022,"Transluminal ablation procedure for arrhythmia,",12.38.40,"Cardiovascular catheterization procedure, Therapeutic, Electrophysiological ablation.",2690,0,,,
David Celermajer and David Baker 05DEC2022,"Arrhythmia surgical procedure, Surgical localisation and mapping procedure for arrhythmia,",12.38.50,,Manual review,0,,,
David Celermajer and David Baker 05DEC2022,"Thoracotomy,",12.40.00,"Thoracotomy, Other",1990,0,,,
David Celermajer and David Baker 05DEC2022,"Minimally invasive procedure,",12.40.13,Minimally invasive procedure,1940,0,,,
David Celermajer and David Baker 05DEC2022,"Robotic surgical approach,",12.40.15,Minimally invasive procedure,1940,0,,,
David Celermajer and David Baker 05DEC2022,"Thoracotomy: redo,",12.40.16,"Thoracotomy, Other",1990,0,,,
David Celermajer and David Baker 05DEC2022,"Median sternotomy: redo x 1-3,",12.40.29,"Thoracic and/or mediastinal procedure, Other",2020,0,,,
David Celermajer and David Baker 05DEC2022,"Median sternotomy: redo x 4 or more,",12.40.30,"Thoracic and/or mediastinal procedure, Other",2020,0,,,
David Celermajer and David Baker 05DEC2022,"Cardiac incision,",12.40.99,"Cardiotomy, Other",2000,0,,,
David Celermajer and David Baker 05DEC2022,"Hybrid strategy (combined surgical & transluminal),",12.41.30,Other procedure,7777,0,,,
David Celermajer and David Baker 05DEC2022,"Implantable cardioverter & defibrillator (ICD) implantation,",12.42.31,ICD (AICD) implantation,1470,0,,,
David Celermajer and David Baker 05DEC2022,"Automatic cardioverter & defibrillator (ICD) transluminal implantation,",12.42.33,ICD (AICD) implantation,1470,0,,,
David Celermajer and David Baker 05DEC2022,"Implantable cardioverter & defibrillator (ICD) system removal,",12.42.34,Explantation of pacing system,2350,0,,,
David Celermajer and David Baker 05DEC2022,"Automatic cardioverter & defibrillator (ICD) transluminal removal,",12.42.35,ICD (AICD) ([automatic] implantable cardioverter defibrillator) procedure,1480,0,,,
David Celermajer and David Baker 05DEC2022,"Implantable cardioverter & defibrillator (ICD) procedure,",12.42.39,ICD (AICD) ([automatic] implantable cardioverter defibrillator) procedure,1480,0,,,
David Celermajer and David Baker 05DEC2022,"Implantable cardioverter & defibrillator (ICD) implantation, Implantable cardioverter & defibrillator (ICD) implantation: single chamber,",12.42.61,ICD (AICD) implantation,1470,0,,,
David Celermajer and David Baker 05DEC2022,"Implantable cardioverter & defibrillator (ICD) implantation, Implantable cardioverter & defibrillator (ICD) implantation: dual chamber,",12.42.64,ICD (AICD) implantation,1470,0,,,
David Celermajer and David Baker 05DEC2022,"Implantable cardioverter & defibrillator (ICD) implantation, Implantable cardioverter & defibrillator (ICD) implantation: biventricular,",12.42.65,ICD (AICD) implantation,1470,0,,,
David Celermajer and David Baker 05DEC2022,"Implantable cardioverter & defibrillator (ICD) implantation, Subcutaneous implantable cardioverter & defibrillator (ICD) implantation,",12.42.79,ICD (AICD) implantation,1470,0,,,
David Celermajer and David Baker 05DEC2022,"Reoperation,",12.43.00,,Manual review required,0,,,
David Celermajer and David Baker 05DEC2022,"Unplanned reoperation during current admission,",12.43.06,,Manual review required,0,,,
David Celermajer and David Baker 05DEC2022,"Unplanned reoperation or reintervention during current admission (excluding bleeding),",12.43.07,,Manual review required,0,,,
David Celermajer and David Baker 05DEC2022,"Palliative procedure,",12.43.25,"Palliation, Other",1710,0,,,
David Celermajer and David Baker 05DEC2022,"Pacemaker system placement: permanent, Pacemaker system placement: percutaneous leadless,",12.43.70,"Pacemaker implantation, Permanent",1450,0,,,
David Celermajer and David Baker 05DEC2022,"Removal of implanted pacemaker lead,",12.44.75,Explantation of pacing system,2350,0,,,
David Celermajer and David Baker 05DEC2022,"Cardiovascular catheter procedure,",12.45.00,"Cardiac procedure, Other",2010,0,,,
David Celermajer and David Baker 05DEC2022,"Catheterisation transeptal approach with transeptal puncture,",12.45.01,"Cardiovascular catheterization procedure, Therapeutic, Perforation (establishing interchamber and/or",2640,0,,,
David Celermajer and David Baker 05DEC2022,"Transluminal retrieval of device or foreign body,",12.45.04,"Cardiovascular catheterization procedure, Therapeutic, Intravascular foreign body removal",3120,0,,,
David Celermajer and David Baker 05DEC2022,"Repeat cardiovascular catheter procedure for residual or recurrent lesion,",12.45.06,"Cardiovascular catheterization procedure, Diagnostic",2500,0,,,
David Celermajer and David Baker 05DEC2022,"Transluminal diagnostic test occlusion,",12.45.07,"Cardiovascular catheterization procedure, Diagnostic, Transluminal test occlusion",2530,0,,,
David Celermajer and David Baker 05DEC2022,"Stent redilation,",12.45.10,"Cardiovascular catheterization procedure, Therapeutic, Stent re-dilation",2630,0,,,
David Celermajer and David Baker 05DEC2022,"Stent placement,",12.45.11,"Cardiovascular catheterization procedure, Therapeutic, Stent insertion",1550,0,,,
David Celermajer and David Baker 05DEC2022,"Balloon dilation,",12.45.12,"Cardiovascular catheterization procedure, Therapeutic, Balloon dilation",1540,0,,,
David Celermajer and David Baker 05DEC2022,"Transluminal device implantation,",12.45.13,"Cardiovascular catheterization procedure, Therapeutic, Device implantation",1560,0,,,
David Celermajer and David Baker 05DEC2022,"Cardiovascular catheterisation occlusion procedure with coil,",12.45.14,"Cardiovascular catheterization procedure, Therapeutic, Coil implantation",1580,0,,,
David Celermajer and David Baker 05DEC2022,"Transluminal implantation of valve,",12.45.15,"Cardiovascular catheterization procedure, Therapeutic, Transcatheter implantation of valve",2660,0,,,
David Celermajer and David Baker 05DEC2022,"Transluminal prosthetic valve leak closure using device,",12.45.19,"Cardiac procedure, Other",2010,0,,,
David Celermajer and David Baker 05DEC2022,"Balloon dilation of valve,",12.45.21,"Cardiovascular catheterization procedure, Therapeutic, Balloon valvotomy",2590,0,,,
David Celermajer and David Baker 05DEC2022,"Therapeutic cardiovascular catheter procedure,",12.45.28,"Cardiovascular catheterization procedure, Therapeutic",2410,0,,,
David Celermajer and David Baker 05DEC2022,"Transluminal procedure for catheterisation complication,",12.45.30,"Cardiovascular catheterization procedure, Therapeutic",2410,0,,,
David Celermajer and David Baker 05DEC2022,"Transluminal therapeutic perforation to establish interchamber and/or intervessel communication,",12.45.58,"Cardiovascular catheterization procedure, Therapeutic, Perforation (establishing interchamber and/or",2640,0,,,
David Celermajer and David Baker 05DEC2022,"Transluminal procedure using adjunctive therapy,",12.45.59,"Cardiovascular catheterization procedure, Therapeutic, Adjunctive therapy",2670,0,,,
David Celermajer and David Baker 05DEC2022,"Fetal transluminal catheter procedure,",12.45.70,Other procedure,7777,0,,,
David Celermajer and David Baker 05DEC2022,"Fetal balloon pulmonary valvotomy,",12.45.71,Other procedure,7777,0,,,
David Celermajer and David Baker 05DEC2022,"Fetal balloon aortic valvotomy,",12.45.73,Other procedure,7777,0,,,
David Celermajer and David Baker 05DEC2022,"Fetal balloon atrial septostomy,",12.45.76,Other procedure,7777,0,Complex CHD,01.01.99,EXCLUDE
David Celermajer and David Baker 05DEC2022,"Fetal procedure,",12.45.90,Other procedure,7777,0,,,
David Celermajer 18JUL2023,"Atrioventricular valvar procedure in double inlet ventricle,",12.46.00,"Cardiac procedure, Other",2010,1,Univentricular Heart,01.01.22,01.01.22
David Celermajer 18JUL2023,"Common atrioventricular valvar leaflet (valvoplasty) procedure,",12.48.01,"Valvuloplasty, Common atrioventricular valve",2300,1,AVSD,06.06.00,06.06.00
David Celermajer 18JUL2023,"Common atrioventricular valve replacement, Atrioventricular septal defect (AVSD): suturing together superior + inferior bridging leaflets to left ventricular side of septum ('cleft'),",12.48.02,"Valve replacement, Common atrioventricular valve",2230,1,AVSD,06.06.00,06.06.00
David Celermajer and David Baker 05DEC2022,"Bronchoscopy,",12.64.00,Bronchoscopy,1870,0,,,
David Celermajer and David Baker 05DEC2022,"Bronchoscopy, Bronchoscopic removal of foreign body,",12.64.08,Bronchoscopy,1870,0,,,
David Celermajer and David Baker 05DEC2022,"Tracheal procedure,",12.64.20,Tracheal procedure,1440,0,,,
David Celermajer and David Baker 05DEC2022,"Tracheal procedure, Tracheostomy creation,",12.64.21,Tracheal procedure,1440,0,,,
David Celermajer and David Baker 05DEC2022,"Tracheal procedure, Tracheobronchial reconstruction procedure,",12.64.40,Tracheal procedure,1440,0,,,
David Celermajer and David Baker 05DEC2022,"Mediastinal procedure, Mediastinal exploration,",12.65.05,Mediastinal exploration,1970,0,,,
David Celermajer and David Baker 05DEC2022,"Mediastinal procedure,",12.65.06,Mediastinal procedure,1860,0,,,
David Celermajer and David Baker 05DEC2022,"Anterior chest wall (pectus) repair, Pectus carinatum repair,",12.65.13,"Pectus repair, Open repair",3030,0,,,
David Celermajer and David Baker 05DEC2022,"Anterior chest wall (pectus) repair, Pectus excavatum repair,",12.65.14,"Pectus repair, Open repair",3030,0,,,
David Celermajer and David Baker 05DEC2022,"Anterior chest wall (pectus) repair,",12.65.23,"Pectus repair, Open repair",3030,0,,,
David Celermajer and David Baker 05DEC2022,"Debridement of chest wall incision,",12.65.45,Other procedure,7777,0,,,
David Celermajer and David Baker 05DEC2022,"Sternal wire removal from previous sternotomy,",12.65.48,"Removal, Sternal wire",2820,0,,,
David Celermajer and David Baker 05DEC2022,"Sternotomy wound drainage,",12.65.56,Sternotomy wound drainage,1980,0,,,
David Celermajer and David Baker 05DEC2022,"Postoperative procedure, Delayed closure of sternum,",12.65.60,Delayed sternal closure,1960,0,,,
David Celermajer and David Baker 05DEC2022,"Pleural procedure, Open excision of pleural lesion,",12.65.72,"Pleural procedure, Other",1820,0,,,
David Celermajer and David Baker 05DEC2022,"Pleural procedure, Pleurodesis,",12.65.82,"Pleural procedure, Other",1820,0,,,
David Celermajer and David Baker 05DEC2022,"Pleural procedure,",12.65.89,"Pleural procedure, Other",1820,0,,,
David Celermajer and David Baker 05DEC2022,"Lung procedure,",12.66.00,"Lung procedure, Other",1420,0,,,
David Celermajer and David Baker 05DEC2022,"Lung procedure, Lung decortication,",12.66.01,"Lung procedure, Other",1420,0,,,
David Celermajer and David Baker 05DEC2022,"Lung procedure, Lung mass excision,",12.66.02,"Lung procedure, Other",1420,0,,,
David Celermajer and David Baker 05DEC2022,"Lung procedure, Lung lobectomy,",12.66.05,"Transplant, lung(s)",1410,0,,,
David Celermajer and David Baker 05DEC2022,"Lung procedure, Pneumonectomy,",12.66.06,"Transplant, lung(s)",1410,0,,,
David Celermajer and David Baker 05DEC2022,"Lung procedure, Lung sequestration repair,",12.66.07,"Lung procedure, Other",1420,0,,,
David Celermajer and David Baker 05DEC2022,"Venovenous collateral occlusion with device,",12.70.08,"Cardiovascular catheterization procedure, Therapeutic, Device implantation",1560,0,,,
David Celermajer and David Baker 05DEC2022,"Thoracic-mediastinal procedure,",12.80.00,"Thoracic and/or mediastinal procedure, Other",2020,0,,,
David Celermajer and David Baker 05DEC2022,"Oesophageal procedure,",12.80.01,Esophageal procedure,1850,0,,,
David Celermajer and David Baker 05DEC2022,"Intestinal procedure,",12.80.10,Other procedure,7777,0,,,
David Celermajer and David Baker 05DEC2022,"Percutaneous feeding gastrostomy tube placement (PEG),",12.80.37,Other procedure,7777,0,,,
David Celermajer and David Baker 05DEC2022,"Laparotomy,",12.80.38,Other procedure,7777,0,,,
David Celermajer and David Baker 05DEC2022,"Endoscopic cervical sympathectomy: right sided,",12.80.74,"Thoracic and/or mediastinal procedure, Other",2020,0,,,
David Celermajer and David Baker 05DEC2022,"Endoscopic cervical sympathectomy: left sided,",12.80.75,"Thoracic and/or mediastinal procedure, Other",2020,0,,,
David Celermajer and David Baker 05DEC2022,"Cardiac support procedure,",12.87.01,Other procedure,7777,0,,,
David Celermajer and David Baker 05DEC2022,"Cardiac support procedure, Intra-aortic balloon pump (IABP) insertion, Intra-aortic balloon pump (IABP) removal: transluminal,",12.87.02,Intraaortic balloon pump (IABP) insertion,1900,0,,,
David Celermajer and David Baker 05DEC2022,"Cardiac support procedure, Intra-aortic balloon pump (IABP) insertion, Intra-aortic balloon pump (IABP) insertion: open,",12.87.04,Intraaortic balloon pump (IABP) insertion,1900,0,,,
David Celermajer and David Baker 05DEC2022,"Cardiac support procedure, Intra-aortic balloon pump (IABP) insertion,",12.87.10,Intraaortic balloon pump (IABP) insertion,1900,0,,,
David Celermajer and David Baker 05DEC2022,"Cardiac support procedure, Ventricular assist device implantation,",12.87.21,VAD implantation,2380,0,,,
David Celermajer and David Baker 05DEC2022,"Cardiac support procedure, Ventricular assist device implantation, Right ventricular assist device implantation,",12.87.22,VAD implantation,2380,0,,,
David Celermajer and David Baker 05DEC2022,"Cardiac support procedure, Ventricular assist device implantation, Left ventricular assist device implantation,",12.87.23,VAD implantation,2380,0,,,
David Celermajer and David Baker 05DEC2022,"Cardiac support procedure, Ventricular assist device implantation, Biventricular assist device implantation,",12.87.24,VAD implantation,2380,0,,,
David Celermajer and David Baker 05DEC2022,"Cardiac support procedure, Cardiac support using Extracorporeal Membrane Oxygenation (ECMO) circuitry,",12.87.25,ECMO procedure,1910,0,,,
David Celermajer and David Baker 05DEC2022,"Cardiac support procedure, Mechanical life support procedure as bridge to transplant,",12.87.26,Other procedure,7777,0,,,
David Celermajer and David Baker 05DEC2022,"Cardiac support procedure, Mechanical life support procedure as bridge to recovery,",12.87.27,Other procedure,7777,0,,,
David Celermajer and David Baker 05DEC2022,"Cardiac support procedure, Procedure involving Extracorporeal Membrane Oxygenation (ECMO) circuitry,",12.87.28,ECMO procedure,1910,0,,,
David Celermajer and David Baker 05DEC2022,"Cardiomyoplasty procedure,",12.87.31,"Cardiac procedure, Other",2010,0,,,
David Celermajer and David Baker 05DEC2022,"Cardiac support procedure, Mechanical life support procedure for primary respiratory failure,",12.87.36,Other procedure,7777,0,,,
David Celermajer and David Baker 05DEC2022,"Cardiac support procedure, Mechanical life support procedure following cardiac procedure,",12.87.37,Other procedure,7777,0,,,
David Celermajer and David Baker 05DEC2022,"Cardiac support procedure, Ventricular assist device implantation, Ventricular assist device removal,",12.87.41,VAD change out,3170,0,,,
David Celermajer and David Baker 05DEC2022,"Cardiac support procedure, Take down (decannulation) of Extracorporeal Membrane Oxygenation (ECMO) circuitry,",12.87.45,ECMO decannulation,2370,0,,,
David Celermajer and David Baker 05DEC2022,"Cardiac support procedure, Mechanical life support procedure as destination therapy,",12.87.53,Other procedure,7777,0,,,
David Celermajer and David Baker 05DEC2022,"Atrioventricular valvar repair,",12.90.01,"Cardiac procedure, Other",2010,0,,,
David Celermajer and David Baker 05DEC2022,"Transcatheter intervention with intracardiac echo guidance (ICE),",13.01.23,"Cardiovascular catheterization procedure, Diagnostic",2500,0,,,
David Celermajer and David Baker 05DEC2022,"Diagnostic cardiovascular catheterisation procedure,",13.05.01,"Cardiovascular catheterization procedure, Diagnostic",2500,0,,,
David Celermajer and David Baker 05DEC2022,"Diagnostic cardiovascular catheterisation procedure: angiographic data obtained,",13.05.05,"Cardiovascular catheterization procedure, Diagnostic, Angiographic data obtained",2520,0,,,
David Celermajer and David Baker 05DEC2022,"Diagnostic cardiovascular catheterisation procedure: haemodynamic data obtained,",13.05.06,"Cardiovascular catheterization procedure, Diagnostic, Hemodynamic data obtained",2510,0,,,
David Celermajer and David Baker 05DEC2022,"Diagnostic cardiovascular catheterisation procedure with haemodynamic alteration (challenge),",13.05.07,"Cardiovascular catheterization procedure, Diagnostic, Hemodynamic alteration",2540,0,,,
David Celermajer and David Baker 05DEC2022,"Diagnostic cardiovascular catheterisation procedure with electrophysiological alteration (challenge),",13.05.08,"Cardiovascular catheterization procedure, Diagnostic, Electrophysiology alteration",2550,0,,,
David Celermajer and David Baker 05DEC2022,"Electrophysiological study (EPS),",13.05.12,Other procedure,7777,0,,,
David Celermajer and David Baker 05DEC2022,"Catheterisation study for pulmonary hypertension evaluation,",13.05.13,"Cardiovascular catheterization procedure, Diagnostic",2500,0,,,
David Celermajer 18JUL2023,"Atrial fenestration closure, Fontan fenestration closure, Transcatheter, With coil",13.05.14,Atrial fenestration closure,85,1,Univentricular Heart,01.01.22,01.01.22
David Celermajer and David Baker 05DEC2022,"Transcatheter procedure undertaken with magnetic resonance imaging guidance,",13.05.15,"Cardiovascular catheterization procedure, Diagnostic",2500,0,,,
David Celermajer and David Baker 05DEC2022,"Transcatheter procedure undertaken with x-ray & magnetic resonance imaging guidance,",13.05.16,"Cardiovascular catheterization procedure, Diagnostic",2500,0,,,
David Celermajer and David Baker 05DEC2022,"Electrophysiological study (EPS) with three dimensional mapping,",13.05.17,Other procedure,7777,0,,,
David Celermajer and David Baker 05DEC2022,"- transatrial approach,",Q5.08.11,"Cardiotomy, Other",2000,0,,,
David Celermajer and David Baker 05DEC2022,"- trans-right ventricular approach,",Q5.08.13,"Cardiotomy, Other",2000,0,,,
